Symbol	Positions
AARTIDRUGS	104
AARTIIND	98
AAVAS	10
ABAN	-478
ABB	12
ABBOTINDIA	-4
ABCAPITAL	12
ABFRL	776
ACC	8
ACCELYA	-6
ACE	916
ADANIENT	-430
ADANIGAS	454
ADANITRANS	216
ADFFOODS	-24
ADORWELD	2
AEGISCHEM	-126
AFFLE	-2
AHLUCONT	-12
AIAENG	-8
AJANTPHARM	-52
AJMERA	-10
AKZOINDIA	14
ALANKIT	-7644
ALEMBICLTD	354
ALKALI	-82
ALKEM	-4
ALKYLAMINE	18
ALLCARGO	14
ALPHAGEO	-244
AMBER	-6
AMBUJACEM	-660
AMRUTANJAN	-26
ANDHRSUGAR	-28
APARINDS	-26
APEX	144
APLAPOLLO	-6
APLLTD	-38
APOLLO	44
APOLLOHOSP	-78
APOLLOPIPE	-42
APOLLOTYRE	-990
APTECHT	-74
ARIES	200
ARMANFIN	10
ARVIND	644
ARVINDFASN	-92
ARVSMART	-424
ASAHIINDIA	-10
ASAHISONG	-12
ASALCBR	-232
ASHIANA	946
ASHOKA	718
ASHOKLEY	1038
ASIANPAINT	526
ASIANTILES	20
ASTEC	16
ASTERDM	134
ASTRAL	116
ASTRAMICRO	182
ASTRAZEN	8
ASTRON	764
ATUL	2
ATULAUTO	-34
AUBANK	-74
AUROPHARMA	-638
AUTOAXLES	18
AVADHSUGAR	-236
AVANTIFEED	56
AVTNPL	-1378
AXISBANK	-180
BAJAJ-AUTO	-14
BAJAJCON	48
BAJAJELEC	-8
BAJAJFINSV	-4
BAJAJHLDNG	-2
BAJFINANCE	12
BALAJITELE	-162
BALAMINES	-30
BALKRISIND	-190
BALMLAWRIE	42
BALPHARMA	1010
BALRAMCHIN	-408
BANCOINDIA	-24
BANDHANBNK	-138
BANKBARODA	-5214
BANKINDIA	1410
BASF	24
BATAINDIA	428
BAYERCROP	-16
BBL	-8
BBTC	-12
BDL	4
BEL	2472
BEML	6
BEPL	316
BFINVEST	-12
BFUTILITIE	96
BHAGERIA	-274
BHAGYANGR	1492
BHARATFORG	-2138
BHARTIARTL	-204
BHEL	-2846
BIRLACABLE	-380
BIRLACORPN	-32
BIRLAMONEY	-292
BLISSGVS	-6
BLUEDART	2
BLUESTARCO	-128
BODALCHEM	60
BOMDYEING	194
BPCL	-100
BRIGADE	242
BSE	-10
BUTTERFLY	-56
CADILAHC	-212
CANFINHOME	44
CANTABIL	2
CAPACITE	-40
CAPLIPOINT	32
CARBORUNIV	-12
CAREERP	-24
CARERATING	82
CASTROLIND	560
CCL	-298
CDSL	104
CEATLTD	22
CENTENKA	-72
CENTRALBK	1352
CENTURYPLY	206
CENTURYTEX	128
CERA	-44
CESC	-46
CESCVENT	24
CHALET	-690
CHAMBLFERT	-60
CHENNPETRO	522
CHOLAFIN	386
CIGNITITEC	4
CIPLA	-1404
COCHINSHIP	-112
CONCOR	42
CONFIPET	366
COROMANDEL	82
COSMOFILMS	64
CREDITACC	-2
CRISIL	6
CROMPTON	-368
CSBBANK	-192
CUB	-940
CUMMINSIND	22
CUPID	-56
CYIENT	-64
DAAWAT	1316
DALBHARAT	-18
DALMIASUG	-68
DBCORP	36
DBL	14
DCBBANK	392
DCMSHRIRAM	142
DCW	114
DECCANCE	6
DEEPAKFERT	-332
DEEPAKNTR	110
DELTACORP	-230
DFMFOODS	-14
DHAMPURSUG	-148
DHANBANK	44
DHANUKA	-38
DIAMONDYD	-12
DIVISLAB	-128
DIXON	-2
DLF	-2488
DLINKINDIA	236
DMART	2
DOLAT	1448
DOLLAR	-28
DONEAR	536
DREDGECORP	-68
DRREDDY	-4
DWARKESH	-62
EIDPARRY	162
EIHOTEL	140
EKC	-1146
ELECON	-122
ELECTCAST	682
ELGIEQUIP	50
EMAMILTD	-34
ENDURANCE	-46
ENGINERSIN	-174
EQUITAS	-138
EROSMEDIA	800
ESABINDIA	-6
ESCORTS	-68
EVEREADY	14
EVERESTIND	24
EXCELINDUS	2
EXIDEIND	-380
FACT	-1258
FAIRCHEM	26
FCL	170
FDC	62
FEDERALBNK	-1360
FIEMIND	-40
FILATEX	-1082
FINCABLES	14
FINEORG	2
FINPIPE	18
FLFL	46
FLUOROCHEM	4
FORCEMOT	2
FORTIS	362
FRETAIL	-14
GABRIEL	82
GAEL	20
GAIL	2532
GALAXYSURF	2
GANDHITUBE	2
GANECOS	2
GARFIBRES	4
GATI	-528
GDL	-40
GENUSPOWER	1806
GEOJITFSL	-856
GEPIL	-246
GET&D	244
GFLLIMITED	32
GHCL	208
GICHSGFIN	-926
GICRE	-38
GILLETTE	8
GIPCL	-422
GLAXO	14
GLENMARK	-1148
GMBREW	-84
GMDCLTD	-88
GMMPFAUDLR	10
GMRINFRA	-3086
GNA	-40
GNFC	-186
GODFRYPHLP	-20
GODREJAGRO	-12
GODREJCP	-118
GODREJIND	-40
GODREJPROP	-44
GOKEX	2080
GOLDIAM	-66
GOLDSHARE	2
GPIL	92
GPPL	80
GPTINFRA	-130
GRANULES	-4
GRAPHITE	-52
GRASIM	146
GRAVITA	232
GREAVESCOT	116
GREENPLY	-818
GRINDWELL	-14
GRSE	88
GSCLCEMENT	422
GSFC	-240
GSPL	-248
GTPL	46
GUFICBIO	12
GUJAPOLLO	-188
GUJGASLTD	106
GULFOILLUB	6
HAL	-16
HARRMALAYA	-126
HATSUN	26
HBLPOWER	-824
HCG	-1194
HCLTECH	-430
HDFC	40
HDFCAMC	136
HDFCBANK	-690
HDFCLIFE	348
HDFCMFGETF	24
HEG	16
HEIDELBERG	-70
HERCULES	-114
HERITGFOOD	24
HEROMOTOCO	2
HESTERBIO	-4
HEXAWARE	-446
HFCL	4130
HGINFRA	-12
HGS	-2
HIKAL	-14
HIL	-64
HIMATSEIDE	1236
HINDALCO	-366
HINDCOPPER	720
HINDOILEXP	772
HINDPETRO	-2036
HINDUNILVR	-346
HINDZINC	356
HISARMETAL	118
HITECHCORP	-2
HMVL	294
HONAUT	-2
HONDAPOWER	12
HPL	974
HSCL	-844
HSIL	-1104
HUDCO	-150
IBREALEST	-774
IBULHSGFIN	-70
IBVENTURES	-392
ICICIBANK	416
ICICIGI	-102
ICICIPRULI	-318
ICIL	-136
IDBI	34
IDFC	556
IDFCFIRSTB	-1036
IEX	-16
IFBIND	4
IGARASHI	-126
IGL	402
IGPL	6
IIFL	252
IIFLSEC	-2408
IITL	38
INDHOTEL	300
INDIACEM	430
INDIAGLYCO	68
INDIAMART	4
INDIANB	2744
INDIANHUME	16
INDIGO	-72
INDNIPPON	-18
INDOCO	92
INDOSTAR	-594
INDRAMEDCO	74
INDSWFTLAB	208
INDTERRAIN	-1292
INDUSINDBK	-362
INEOSSTYRO	-34
INFIBEAM	-1856
INFRATEL	-784
INFY	-314
INGERRAND	-82
INOXLEISUR	174
INSECTICID	-22
IOC	934
IOLCP	10
IPCALAB	42
IRB	-928
IRCON	154
IRCTC	-18
ISEC	12
ITC	1742
ITDC	-46
ITDCEM	30
ITI	874
JAGRAN	192
JAGSNPHARM	-164
JAICORPLTD	-286
JAMNAAUTO	-76
JAYBARMARU	-30
JAYSREETEA	-118
JBCHEPHARM	-28
JBMA	-16
JCHAC	-8
JINDALPOLY	-28
JINDALSAW	-166
JINDALSTEL	-1630
JKCEMENT	-16
JKIL	-22
JKLAKSHMI	20
JKPAPER	-436
JKTYRE	-192
JMCPROJECT	440
JMFINANCIL	438
JOCIL	-46
JSL	1410
JSLHISAR	174
JSWENERGY	-4564
JSWSTEEL	1162
JTEKTINDIA	548
JUBILANT	-6
JUBLFOOD	-16
JUMPNET	-514
JYOTHYLAB	100
KABRAEXTRU	-498
KAJARIACER	-38
KAKATCEM	-98
KALPATPOWR	18
KAMATHOTEL	-348
KANSAINER	-40
KARURVYSYA	604
KCP	48
KCPSUGIND	-1302
KEC	34
KEI	116
KESORAMIND	-104
KINGFA	-46
KIRIINDUS	-2
KIRLOSBROS	-94
KIRLOSENG	112
KITEX	118
KMSUGAR	2710
KNRCON	-166
KOKUYOCMLN	-42
KOLTEPATIL	-528
KOTAKBANK	1298
