Trade Date,Market,Trade No,Trade Time,Instrument,Symbol,Expiry Date,Strike Price,OptionType,Quantity,Price,Trade Value,B/S,Order No,Branch No,User Id,Client Type,Client A/C,TM Code,CP Code,Remarks,Status,CTCL Id
06AUG2020,N,        93569334,15:29:13,OPTSTK,SHREECEM,27AUG2020,23000.00,CE,        50, 242.00,       12100.00,S,1500000052774205,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        33681931,15:25:21,OPTSTK,BAJAJ-AUTO,27AUG2020,3050.00,CE,       250,  75.00,       18750.00,S,1200000044305743,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93558891,15:25:01,OPTSTK,TVSMOTOR,27AUG2020,380.00,PE,      1400,   4.65,        6510.00,S,1500000052776022,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93558735,15:24:57,OPTSTK,SIEMENS,27AUG2020,1200.00,CE,       550,  30.85,       16967.50,S,1500000052774154,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93558418,15:24:47,OPTSTK,TATACONSUM,27AUG2020,430.00,PE,      2700,   2.00,        5400.00,S,1500000052775586,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93558310,15:24:46,OPTSTK,TVSMOTOR,27AUG2020,430.00,CE,      1400,  12.05,       16870.00,B,1500000052774236,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        33679922,15:24:08,OPTSTK,BHARTIARTL,27AUG2020,570.00,CE,      1851,  15.10,       27950.10,S,1200000044305742,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93557019,15:24:08,FUTSTK,TVSMOTOR,27AUG2020,,,      1400, 416.95,      583730.00,B,1500000052774229,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93556969,15:24:06,OPTSTK,TATACONSUM,27AUG2020,420.00,PE,      2700,   1.30,        3510.00,S,1500000052775595,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        33679854,15:24:04,OPTSTK,BAJFINANCE,27AUG2020,3400.00,CE,       250, 137.65,       34412.50,S,1200000044305740,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93556503,15:23:51,OPTSTK,TATASTEEL,27AUG2020,420.00,CE,      1700,  10.45,       17765.00,S,1500000052752823,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93556248,15:23:42,OPTSTK,TATACONSUM,27AUG2020,480.00,CE,      2700,  18.35,       49545.00,B,1500000052685191,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93555712,15:23:26,FUTSTK,TCS,27AUG2020,,,       300,2317.35,      695205.00,S,1500000052716382,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93555674,15:23:25,OPTSTK,TCS,27AUG2020,2300.00,CE,       300,  84.05,       25215.00,B,1500000052698706,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        33679030,15:23:24,OPTSTK,BHARTIARTL,27AUG2020,570.00,CE,      1851,  15.20,       28135.20,B,1200000044264203,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93555642,15:23:23,OPTSTK,TCS,27AUG2020,2220.00,PE,       300,  35.25,       10575.00,S,1500000052691815,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        40303056,15:23:18,OPTSTK,INDUSINDBK,27AUG2020,500.00,CE,       800,  29.35,       23480.00,S,1300000055482950,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93555026,15:23:14,OPTSTK,UPL,27AUG2020,470.00,CE,      1300,  15.70,       20410.00,B,1500000052666334,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93554623,15:23:00,OPTSTK,VEDL,27AUG2020,130.00,CE,      6200,   2.80,       17360.00,B,1500000049816912,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        40301983,15:22:39,OPTSTK,INDUSINDBK,27AUG2020,460.00,PE,       800,  13.85,       11080.00,S,1300000055401563,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        40301707,15:22:33,OPTSTK,IGL,27AUG2020,400.00,CE,      1375,  12.45,       17118.75,B,1300000055400604,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93552718,15:21:57,OPTSTK,TVSMOTOR,27AUG2020,420.00,CE,      1400,  15.45,       21630.00,S,1500000052584627,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93551599,15:21:36,OPTSTK,TATACONSUM,27AUG2020,430.00,PE,      2700,   2.05,        5535.00,B,1500000052532318,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93551370,15:21:29,OPTSTK,TATASTEEL,27AUG2020,370.00,PE,      1700,   6.85,       11645.00,B,1500000052518260,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93551331,15:21:28,OPTSTK,TATASTEEL,27AUG2020,400.00,CE,      1700,  18.85,       32045.00,S,1500000052502436,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93551228,15:21:26,OPTSTK,SIEMENS,27AUG2020,1200.00,CE,       550,  30.05,       16527.50,B,1500000052480258,1,35693,PRO,90044,90044,90044,,P,560049001005000
06AUG2020,N,        93551008,15:21:24,OPTSTK,TATASTEEL,27AUG2020,410.00,CE,      1700,  14.40,       24480.00,S,1500000052503171,1,35693,PRO,90044,90044,90044,,P,560049001005000
