Symbol	Positions
OPTSTK ACC 27AUG2020 1400.0 PE NSE_ACC_PE_20200827_1400.00	2
OPTSTK ADANIENT 27AUG2020 180.0 PE NSE_ADANIENT_PE_20200827_180.00	-2
OPTSTK APOLLOHOSP 27AUG2020 1700.0 CE NSE_APOLLOHOSP_CE_20200827_1700.00	0
OPTSTK APOLLOHOSP 27AUG2020 1740.0 CE NSE_APOLLOHOSP_CE_20200827_1740.00	0
OPTSTK APOLLOTYRE 27AUG2020 115.0 PE NSE_APOLLOTYRE_PE_20200827_115.00	2
OPTSTK ASIANPAINT 27AUG2020 1700.0 PE NSE_ASIANPAINT_PE_20200827_1700.00	2
OPTSTK ASIANPAINT 27AUG2020 1720.0 CE NSE_ASIANPAINT_CE_20200827_1720.00	-2
OPTSTK ASIANPAINT 27AUG2020 1720.0 PE NSE_ASIANPAINT_PE_20200827_1720.00	0
OPTSTK ASIANPAINT 27AUG2020 1760.0 CE NSE_ASIANPAINT_CE_20200827_1760.00	2
OPTSTK AUROPHARMA 27AUG2020 800.0 PE NSE_AUROPHARMA_PE_20200827_800.00	-2
OPTSTK AUROPHARMA 27AUG2020 840.0 PE NSE_AUROPHARMA_PE_20200827_840.00	2
OPTSTK AUROPHARMA 27AUG2020 860.0 CE NSE_AUROPHARMA_CE_20200827_860.00	-2
OPTSTK AUROPHARMA 27AUG2020 860.0 PE NSE_AUROPHARMA_PE_20200827_860.00	-2
OPTSTK AUROPHARMA 27AUG2020 880.0 CE NSE_AUROPHARMA_CE_20200827_880.00	-6
OPTSTK AUROPHARMA 27AUG2020 900.0 CE NSE_AUROPHARMA_CE_20200827_900.00	-2
OPTSTK AUROPHARMA 27AUG2020 920.0 CE NSE_AUROPHARMA_CE_20200827_920.00	-6
OPTSTK AXISBANK 27AUG2020 410.0 PE NSE_AXISBANK_PE_20200827_410.00	2
OPTSTK AXISBANK 27AUG2020 430.0 PE NSE_AXISBANK_PE_20200827_430.00	-2
OPTSTK AXISBANK 27AUG2020 440.0 CE NSE_AXISBANK_CE_20200827_440.00	2
OPTSTK AXISBANK 27AUG2020 440.0 PE NSE_AXISBANK_PE_20200827_440.00	4
OPTSTK AXISBANK 27AUG2020 450.0 CE NSE_AXISBANK_CE_20200827_450.00	2
OPTSTK AXISBANK 27AUG2020 460.0 CE NSE_AXISBANK_CE_20200827_460.00	-2
OPTSTK AXISBANK 27AUG2020 470.0 CE NSE_AXISBANK_CE_20200827_470.00	0
OPTSTK BAJAJ-AUTO 27AUG2020 2900.0 PE NSE_BAJAJ-AUTO_PE_20200827_2900.00	-2
OPTSTK BAJAJ-AUTO 27AUG2020 2950.0 PE NSE_BAJAJ-AUTO_PE_20200827_2950.00	-2
OPTSTK BAJAJ-AUTO 27AUG2020 3000.0 CE NSE_BAJAJ-AUTO_CE_20200827_3000.00	0
OPTSTK BAJAJ-AUTO 27AUG2020 3050.0 CE NSE_BAJAJ-AUTO_CE_20200827_3050.00	0
OPTSTK BAJAJ-AUTO 27AUG2020 3100.0 CE NSE_BAJAJ-AUTO_CE_20200827_3100.00	-2
OPTSTK BAJAJ-AUTO 27AUG2020 3150.0 CE NSE_BAJAJ-AUTO_CE_20200827_3150.00	2
OPTSTK BAJAJFINSV 27AUG2020 6300.0 CE NSE_BAJAJFINSV_CE_20200827_6300.00	0
OPTSTK BAJFINANCE 27AUG2020 3100.0 PE NSE_BAJFINANCE_PE_20200827_3100.00	6
OPTSTK BAJFINANCE 27AUG2020 3150.0 PE NSE_BAJFINANCE_PE_20200827_3150.00	2
OPTSTK BAJFINANCE 27AUG2020 3200.0 PE NSE_BAJFINANCE_PE_20200827_3200.00	0
OPTSTK BAJFINANCE 27AUG2020 3250.0 CE NSE_BAJFINANCE_CE_20200827_3250.00	2
OPTSTK BAJFINANCE 27AUG2020 3250.0 PE NSE_BAJFINANCE_PE_20200827_3250.00	2
OPTSTK BAJFINANCE 27AUG2020 3300.0 CE NSE_BAJFINANCE_CE_20200827_3300.00	0
OPTSTK BAJFINANCE 27AUG2020 3350.0 CE NSE_BAJFINANCE_CE_20200827_3350.00	0
OPTSTK BAJFINANCE 27AUG2020 3400.0 CE NSE_BAJFINANCE_CE_20200827_3400.00	-8
OPTSTK BANDHANBNK 27AUG2020 280.0 PE NSE_BANDHANBNK_PE_20200827_280.00	0
OPTSTK BANDHANBNK 27AUG2020 290.0 PE NSE_BANDHANBNK_PE_20200827_290.00	-2
OPTSTK BANDHANBNK 27AUG2020 300.0 PE NSE_BANDHANBNK_PE_20200827_300.00	-2
OPTSTK BANDHANBNK 27AUG2020 310.0 CE NSE_BANDHANBNK_CE_20200827_310.00	8
OPTSTK BANDHANBNK 27AUG2020 310.0 PE NSE_BANDHANBNK_PE_20200827_310.00	-2
OPTSTK BANDHANBNK 27AUG2020 320.0 CE NSE_BANDHANBNK_CE_20200827_320.00	-10
