Trade_Filename,Profit_Count,Loss_Count,Profit_Count_wrt_Limit,Loss_Count_wrt_Limit,Total_PNL,Total_Product_Count
trades.20200831.123805,0,13,4,9,-54734,13
trades.20200831.123806,0,10,3,7,-41002,10
trades.20200831.123807,0,5,2,3,-21298,5
trades.20200831.123808,0,5,3,2,-14538,5
trades.20200831.123901,0,0,0,0,0,0
summary.20200831,0,33,12,21,-131572,33
trades.20200828.123805,0,4,0,4,-21872,4
trades.20200828.123806,3,6,6,3,-15303,9
trades.20200828.123807,0,4,3,1,-8466,4
trades.20200828.123808,0,4,2,2,-12236,4
trades.20200828.123901,0,0,0,0,0,0
summary.20200828,3,18,11,10,-57877,21
trades.20200827.123805,1,9,5,5,-12018,10
trades.20200827.123806,0,9,5,4,-23280,9
trades.20200827.123807,0,4,2,2,-11822,4
trades.20200827.123808,0,7,4,3,-20030,7
trades.20200827.123810,0,2,0,2,-7239,2
summary.20200827,1,31,16,16,-74389,32
trades.20200826.123806,0,7,2,5,-27241,7
trades.20200826.123805,0,10,1,9,-54923,10
trades.20200826.123807,1,6,3,4,-23953,7
trades.20200826.123808,1,4,2,3,-18272,5
trades.20200826.123810,0,1,1,0,-2163,1
summary.20200826,2,28,9,21,-126552,30
trades.20200825.123805,1,8,7,2,-20663,9
trades.20200825.123806,0,8,4,4,-29746,8
trades.20200825.123807,0,5,1,4,-19666,5
trades.20200825.123808,0,4,1,3,-19366,4
trades.20200825.123810,0,0,0,0,0,0
summary.20200825,1,25,13,13,-89441,26
trades.20200824.123805,1,7,3,5,-28753,8
trades.20200824.123806,1,10,4,7,-34478,11
trades.20200824.123807,3,5,3,5,-16838,8
trades.20200824.123808,1,8,8,1,-19278,9
trades.20200824.123810,0,0,0,0,0,0
summary.20200824,6,30,18,18,-99347,36
trades.20200821.123805,2,5,5,2,-11335,7
trades.20200821.123806,0,5,2,3,-19728,5
trades.20200821.123807,0,4,2,2,-13886,4
trades.20200821.123808,1,1,2,0,-1300,2
trades.20200821.123810,0,2,1,1,-7802,2
summary.20200821,3,17,12,8,-54051,20
trades.20200820.123805,0,4,1,3,-23254,4
trades.20200820.123806,0,7,2,5,-30200,7
trades.20200820.123807,2,2,2,2,-10697,4
trades.20200820.123808,0,3,2,1,-7308,3
trades.20200820.123810,0,0,0,0,0,0
summary.20200820,2,16,7,11,-71459,18
trades.20200819.123805,1,3,2,2,-5210,4
trades.20200819.123806,0,5,0,5,-32203,5
trades.20200819.123807,1,2,2,1,-7570,3
trades.20200819.123808,1,4,2,3,-5282,5
trades.20200819.123810,0,0,0,0,0,0
summary.20200819,3,14,6,11,-50265,17
trades.20200818.123716,0,0,0,0,0,0
trades.20200818.123805,1,3,2,2,3951,4
trades.20200818.123806,0,8,2,6,-31874,8
trades.20200818.123807,0,2,2,0,-3375,2
trades.20200818.123808,0,3,2,1,-5746,3
trades.20200818.123810,0,0,0,0,0,0
summary.20200818,1,16,8,9,-37044,17
trades.20200817.123805,0,3,2,1,-6892,3
trades.20200817.123806,0,5,2,3,-19595,5
trades.20200817.123807,1,4,1,4,-19056,5
trades.20200817.123808,0,10,3,7,-37412,10
trades.20200817.123810,0,0,0,0,0,0
summary.20200817,1,22,8,15,-82955,23
trades.20200814.123805,0,9,4,5,-32770,9
trades.20200814.123806,0,7,2,5,-24127,7
trades.20200814.123807,0,5,3,2,-13091,5
trades.20200814.123808,0,5,3,2,-14814,5
trades.20200814.123810,0,0,0,0,0,0
summary.20200814,0,26,12,14,-84802,26
trades.20200813.123805,1,5,2,4,-17060,6
trades.20200813.123716,0,0,0,0,0,0
trades.20200813.123806,0,5,1,4,-17644,5
trades.20200813.123807,0,4,1,3,-13822,4
trades.20200813.123808,0,6,3,3,-22386,6
trades.20200813.123809,0,0,0,0,0,0
trades.20200813.123810,0,0,0,0,0,0
summary.20200813,1,20,7,14,-70912,21
trades.20200812.123805,0,12,7,5,-41604,12
trades.20200812.123806,0,2,0,2,-8550,2
trades.20200812.123807,0,6,2,4,-30383,6
trades.20200812.123808,0,2,1,1,-5587,2
summary.20200812,0,22,10,12,-86124,22
trades.20200811.123805,2,12,7,7,-39718,14
trades.20200811.123806,0,4,1,3,-17381,4
trades.20200811.123807,0,5,1,4,-28593,5
trades.20200811.123808,0,2,0,2,-13370,2
trades.20200811.123901,0,0,0,0,0,0
summary.20200811,2,23,9,16,-99062,25
trades.20200810.123716,0,0,0,0,0,0
trades.20200810.123805,2,3,3,2,4146,5
trades.20200810.123806,0,6,1,5,-27209,6
trades.20200810.123807,0,2,1,1,-3424,2
trades.20200810.123808,0,2,1,1,-6507,2
trades.20200810.123901,0,0,0,0,0,0
summary.20200810,2,13,6,9,-32994,15
trades.20200808.1596869135,0,0,0,0,0,0
summary.20200808,0,0,0,0,0,0
trades.20200807.123805,1,5,4,2,-15232,6
trades.20200807.123806,1,5,5,1,-13430,6
trades.20200807.123807,0,2,0,2,-6421,2
trades.20200807.123808,0,4,2,2,-11529,4
summary.20200807,2,16,11,7,-46612,18
trades.20200806.123805,0,3,0,3,-13680,3
trades.20200806.123806,0,2,0,2,-10477,2
trades.20200806.123807,0,4,1,3,-18433,4
trades.20200806.123808,0,0,0,0,0,0
summary.20200806,0,9,1,8,-42590,9
trades.20200805.123805,0,2,0,2,-10682,2
trades.20200805.123806,0,3,1,2,-10432,3
trades.20200805.123807,0,1,0,1,-4032,1
trades.20200805.123808,1,0,1,0,3027,1
summary.20200805,1,6,2,5,-22119,7
trades.20200804.123806,1,6,5,2,-15917,7
trades.20200804.123805,0,4,0,4,-17842,4
trades.20200804.123807,1,2,1,2,-10385,3
trades.20200804.123808,0,3,0,3,-14802,3
summary.20200804,2,15,6,11,-58946,17
trades.20200803.123716,0,0,0,0,0,0
trades.20200803.123805,1,7,3,5,-22291,8
trades.20200803.123806,0,2,1,1,-8016,2
trades.20200803.123807,0,7,2,5,-26829,7
trades.20200803.123808,0,4,0,4,-22279,4
summary.20200803,1,20,6,15,-79415,21
trades.20200730.123716,0,0,0,0,0,0
trades.20200730.123805,0,3,0,3,-12863,3
trades.20200730.123806,0,2,1,1,-7627,2
trades.20200730.123807,0,3,0,3,-12688,3
trades.20200730.123808,1,3,1,3,-21401,4
trades.20200730.123901,0,0,0,0,0,0
summary.20200730,1,11,2,10,-54579,12
trades.20200729.123716,0,0,0,0,0,0
trades.20200729.123805,0,6,2,4,-19081,6
trades.20200729.123806,0,2,0,2,-8157,2
trades.20200729.123807,0,3,2,1,-10405,3
trades.20200729.123808,0,5,3,2,-14882,5
summary.20200729,0,16,7,9,-52525,16
