##Numeric_Id    Internal_Ref    Channel_No
8604687 DOLM14  1
1640068 JPYV11  1
7501488 EURF15  1
8607326 DOLF12  1
488014  DR1K11F13       1
7501447 EURF14  1
8613159 DOLN13  1
8602913 DOLM12  1
487966  DR1K11J12       1
8609108 DOLG12  1
488600  DR1N11N12       1
5000970 WDLN11  1
1480119 CADN11  1
7501561 EURF17  1
488279  DR1M11N13       1
7501405 EURF13  1
5001168 WDLN14  1
488428  DR1M11F17       1
488568  DR1N11H12       1
488345  DR1M11F15       1
960500  TTEZ99  1
7501637 EURZ11  1
488238  DR1M11V12       1
488584  DR1N11K12       1
488154  DR1M11Z11       1
488386  DR1M11F16       1
487917  DR1K11V11       1
488543  DR1N11F12       1
488055  DR1K11F14       1
488469  DR1M11F18       1
488097  DR1K11V14       1
488196  DR1M11J12       1
8608902 DOLV13  1
7501595 EURV17  1
1440147 AUDQ11  1
8613217 DOLJ16  1
488642  DR1N11F13       1
8613167 DOLN14  1
488501  DR1N11U11       1
8616558 DOLU11  1
488303  DR1M11J14       1
5001135 WDLF14  1
5001234 WDLJ16  1
5001275 WDLN17  1
5001085 WDLX12  1
487875  DR1Q11U11       1
7501371 EURJ12  1
8606955 DOLF16  1
488113  DR1M11Q11       1
8608860 DOLJ12  1
5001002 WDLV11  1
5001044 WDLJ12  1
8608886 DOLJ14  1
9922    TTCZ99  1
9920    TTAZ99  1
9921    TTBZ99  1
8613126 DOLN11  1
488022  DR1K11J13       1
8601394 DOLF17  1
7501512 EURV15  1
487974  DR1K11M12       1
8602947 DOLZ11  1
488204  DR1M11M12       1
487933  DR1K11Z11       1
1580124 MXNV11  1
488436  DR1M11J17       1
5001176 WDLV14  1
7501470 EURV14  1
7501553 EURV16  1
7501439 EURV13  1
488246  DR1M11X12       1
488618  DR1N11U12       1
5000988 WDLQ11  1
487909  DR1Q11Z11       1
488394  DR1M11J16       1
488063  DR1K11J14       1
488592  DR1N11M12       1
488287  DR1M11V13       1
488162  DR1M11F12       1
8609090 DOLF21  1
488477  DR1M11F21       1
1640126 JPYN11  1
1440154 AUDU11  1
488659  DR1N11J13       1
8613225 DOLN16  1
8601402 DOLJ17  1
487941  DR1K11F12       1
488352  DR1M11J15       1
5001283 WDLF18  1
488550  DR1N11G12       1
8616566 DOLX11  1
5001051 WDLM12  1
488311  DR1M11M14       1
487883  DR1Q11V11       1
7501587 EURN17  1
5001093 WDLF13  1
8613175 DOLV14  1
7501363 EURF12  1
5001242 WDLN16  1
5001143 WDLJ14  1
488121  DR1M11U11       1
8613134 DOLN12  1
5001101 WDLJ13  1
488519  DR1N11V11       1
5001010 WDLX11  1
8616991 TTEX99  1
960244  TTDZ99  1
1580116 MXNN11  1
5001184 WDLF15  1
488402  DR1M11N16       1
488030  DR1K11N13       1
7501504 EURN15  1
488212  DR1M11N12       1
7501462 EURN14  1
80006   TTAN18  1
1540110 GBPN11  1
487982  DR1K11N12       1
8613233 DOLV16  1
80005   TTAN17  1
488626  DR1N11V12       1
8602939 DOLQ11  1
5000996 WDLU11  1
488253  DR1M11F13       1
7501546 EURN16  1
80000   TTAN12  1
488667  DR1N11N13       1
488485  DR1N11Q11       1
488071  DR1K11M14       1
80001   TTAN13  1
80004   TTAN16  1
488444  DR1M11N17       1
488295  DR1M11F14       1
5001259 WDLF17  1
1440121 AUDV11  1
5001069 WDLN12  1
488360  DR1M11N15       1
487990  DR1K11V12       1
488170  DR1M11G12       1
7501397 EURV12  1
7501579 EURJ17  1
7501355 EURV11  1
7501421 EURN13  1
8602301 DOLM11  1
5001291 WDLV16  1
8613183 DOLJ15  1
8606930 DOLF14  1
488329  DR1M11N14       1
8601436 DOLV17  1
8613142 DOLF13  1
488527  DR1N11X11       1
96000   TT1Z10  1
8608894 DOLV12  1
8608928 DOLV11  1
488139  DR1M11V11       1
5001028 WDLZ11  1
5001218 WDLV15  1
5001119 WDLN13  1
487891  DR1Q11X11       1
7501496 EURJ15  1
1540128 GBPV11  1
8619743 DOLX12  1
7501454 EURJ14  1
488410  DR1M11V16       1
7501538 EURJ16  1
8601378 DOLN15  1
488006  DR1K11X12       1
487958  DR1K11G12       1
7501413 EURJ13  1
488220  DR1M11U12       1
1480127 CADV11  1
7501645 EURG12  1
5001192 WDLJ15  1
488634  DR1N11X12       1
488048  DR1K11V13       1
488089  DR1K11N14       1
488493  DR1M11K12       1
7501520 EURF16  1
488675  DR1N11V13       1
488261  DR1M11J13       1
487925  DR1K11X11       1
488576  DR1N11J12       1
488451  DR1M11V17       1
488188  DR1M11H12       1
488378  DR1M11V15       1
8613209 DOLV15  1
7501348 EURN11  1
8617150 DOLF18  1
7501389 EURN12  1
5001077 WDLV12  1
8601428 DOLN17  1
5001267 WDLJ17  1
488105  DR1M11N11       1
9919    TT9Z99  1
488535  DR1N11Z11       1
9918    TT8Z99  1
488337  DR1M11V14       1
8699992 DOLK15  1
8606948 DOLF15  1
9914    TT4Z99  1
488147  DR1M11X11       1
9917    TT7Z99  1
9916    TT6Z99  1
1440105 AUDN11  1
9911    TT3Z99  1
9910    TT2Z99  1
8608878 DOLJ13  1
5001309 WDLV17  1
5001036 WDLF12  1
5001127 WDLV13  1
5001226 WDLF16  1
4800503 WINM11  10
4800537 WINZ11  10
4800529 WINV11  10
4800560 WING12  10
4800545 WINM12  10
4800578 WINJ12  10
4800511 WINQ11  10
4800602 WINZ12  10
4800586 WINQ12  10
4800594 WINV12  10
4800552 WINZ13  10
9001206 IGMF13  7
5101398 IAPZ11  7
9001172 IGMJ12  7
3015103 INDJ12  7
802010  T2T399  7
3009213 INDV11  7
9001156 IGMV11  7
5101380 IAPK15  7
9001198 IGMV12  7
5100812 IAPK17  7
3015095 INDG12  7
9001149 IGMN11  7
440841  IR1M11G12       7
5101364 IAPK13  7
3015111 INDQ12  7
5100770 IAPF17  7
3012449 INDM12  7
5100721 IAPV13  7
5101349 IAPG12  7
5100804 IAPF22  7
5100754 IAPJ14  7
5100689 IAPV12  7
5100697 IAPF13  7
3009148 INDM11  7
5101331 IAPX11  7
5101372 IAPV14  7
5101323 IAPQ11  7
5100663 IAPJ12  7
3014684 INDZ13  7
3015129 INDV12  7
3009197 INDQ11  7
5100648 IAPV11  7
9990901 INDZ50  7
5100762 IAPF16  7
9990902 INDZ51  7
3013637 INDZ12  7
5100713 IAPN13  7
5100796 IAPF19  7
5101356 IAPQ12  7
5100747 IAPF15  7
5100739 IAPF14  7
9001164 IGMF12  7
5100671 IAPN12  7
3009205 INDZ11  7
5100655 IAPF12  7
5100705 IAPJ13  7
5100788 IAPF18  7
5100630 IAPN11  7
5101406 IAPZ12  7
9001180 IGMN12  7
4713482 SOJQ11  5
1240786 BR1M11Z11       5
1010    BORBOLETA2      5
1280220 SR1Q11U11       5
6106172 ICFU11  5
1340305 MR1K11K12       5
1381721 ETHF12  5
1240828 BR1N11X11       5
1280246 SR1Q11K12       5
1340347 MR1U11K12       5
1340321 MR1U11F12       5
1680080 SFIH12  5
1381556 ETHM11  5
780170  CPGQ11  5
1111121 TESTEU12        5
980168  COPN11  5
687292  CCMX11  5
880178  CTMQ11  5
1680049 SFIN11  5
4900964 WBGK11  5
4713516 SOJV11  5
9600346 WCFU11  5
1340297 MR1K11H12       5
1240679 BR1K11N11       5
980184  COPU11  5
4900972 WBGM11  5
1340255 MR1Q11X11       5
1016053 OZ1N11  5
7310831 BGIU11  5
7310856 BGIZ11  5
1680064 SFIU11  5
1240695 BR1K11U11       5
1340271 MR1K11X11       5
685064  CCMU11  5
685049  CCMQ11  5
1280238 SR1Q11V11       5
9991001 AEAJ50  5
7308470 BGIN11  5
1240737 BR1M11N11       5
1080174 CRVQ11  5
4713474 SOJK12  5
1240752 BR1M11U11       5
7306177 BGIK11  5
1240794 BR1N11Q11       5
1240778 BR1M11X11       5
1381671 ETHQ11  5
1381697 ETHV11  5
1240711 BR1K11X11       5
7303497 BGIV11  5
6106180 ICFZ11  5
7300550 BGIM11  5
1680056 SFIQ11  5
6106164 ICFN11  5
1381549 ETHK11  5
1381713 ETHZ11  5
1381564 ETHN11  5
780162  CPGN11  5
1680098 SFIJ12  5
1240703 BR1K11V11       5
1340313 MR1U11X11       5
1000    BORBOLETA1      5
9600353 WCFZ11  5
980176  COPQ11  5
780188  CPGU11  5
1680072 SFIX11  5
1340339 MR1U11H12       5
1240810 BR1N11V11       5
1016046 OZ1M11  5
880160  CTMN11  5
6100002 ICFZ12  5
1240836 BR1N11Z11       5
4900923 WBGV11  5
1340289 MR1K11F12       5
880186  CTMU11  5
4713508 SOJU11  5
1016061 OZ1Z11  5
685056  CCMN11  5
1240687 BR1K11Q11       5
1340248 MR1Q11U11       5
9600338 WCFN11  5
1240661 BR1K11M11       5
6108525 ICFH12  5
7310849 BGIX11  5
7310823 BGIQ11  5
1381705 ETHX11  5
1240745 BR1M11Q11       5
6106552 ICFU12  5
1382653 ETHG12  5
1080182 CRVU11  5
1080166 CRVN11  5
1340263 MR1K11U11       5
9995001 COPJ50  5
1680106 SFIK12  5
1381689 ETHU11  5
1240729 BR1K11Z11       5
1240802 BR1N11U11       5
1240760 BR1M11V11       5
1300507 DDMF12  3
401660  DDIF23  3
701259  DI1F18  3
701127  DI1N11  3
401181  DDIV12  3
401587  DDIN16  3
701275  DI1N12  3
700970  DI1F13  3
1300903 DDMF13  3
701655  DI1F20  3
401389  DDIF21  3
701234  DI1V11  3
401603  DDIF25  3
