Stock,Sector,Select_1,Select_2
ABIRLANUVO,Finance,FALSE,FALSE
ACC,Cement,FALSE,TRUE
ADANIENT,Unknown,FALSE,FALSE
ADANIPORTS,Unknown,FALSE,FALSE
ADANIPOWER,Unknown,FALSE,FALSE
AJANTPHARM,Unknown,FALSE,FALSE
ALBK,Banking,FALSE,FALSE
AMARAJABAT,Unknown,FALSE,FALSE
AMBUJACEM,Cement,FALSE,FALSE
ANDHRABANK,Banking,FALSE,FALSE
APOLLOHOSP,Unknown,FALSE,FALSE
APOLLOTYRE,Tyres,TRUE,FALSE
ARVIND,Textiles,TRUE,FALSE
ASHOKLEY,AutoIndustrial,TRUE,FALSE
ASIANPAINT,Paints,TRUE,FALSE
AUROPHARMA,Pharma,TRUE,FALSE
AXISBANK,Banking,TRUE,FALSE
BAJAJ-AUTO,Auto,FALSE,FALSE
BAJFINANCE,Unknown,FALSE,FALSE
BANKBARODA,Banking,TRUE,FALSE
BANKINDIA,Banking,FALSE,FALSE
BATAINDIA,Unknown,FALSE,FALSE
BEL,Unknown,FALSE,FALSE
BEML,Unknown,FALSE,FALSE
BHARATFORG,Industrials,FALSE,FALSE
BHARTIARTL,Telecom,TRUE,TRUE
BHEL,Industrials,TRUE,FALSE
BIOCON,Unknown,FALSE,FALSE
BOSCHLTD,Unknown,FALSE,FALSE
BPCL,Energy,FALSE,FALSE
BRITANNIA,Unknown,FALSE,FALSE
CADILAHC,Unknown,FALSE,FALSE
CAIRN,Energy,TRUE,FALSE
CANBK,Banking,FALSE,FALSE
CASTROLIND,Unknown,FALSE,FALSE
CEATLTD,Tyres,FALSE,FALSE
CENTURYTEX,Unknown,FALSE,FALSE
CESC,Unknown,FALSE,FALSE
CIPLA,Pharma,FALSE,FALSE
COALINDIA,Energy,TRUE,FALSE
COLPAL,FMCG,FALSE,FALSE
CONCOR,Unknown,FALSE,FALSE
CROMPGREAV,Industrials,TRUE,FALSE
CUMMINSIND,Unknown,FALSE,FALSE
DABUR,Unknown,FALSE,FALSE
DHFL,Unknown,FALSE,FALSE
DISHTV,Media,TRUE,FALSE
DIVISLAB,Unknown,FALSE,FALSE
DLF,RealEstate,TRUE,FALSE
DRREDDY,Pharma,TRUE,FALSE
EICHERMOT,Auto,FALSE,FALSE
ENGINERSIN,Unknown,FALSE,FALSE
EXIDEIND,Unknown,FALSE,FALSE
