"country","date","name","actual","consensus","previous","volatility"
"Australia","20160816 01:30:00","New Motor Vehicle Sales (MoM)","","","","1"
"Australia","20160816 01:30:00","New Motor Vehicle Sales (YoY)","","","","1"
"Australia","20160816 01:30:00","RBA Meeting's Minutes","","","","3"
"India","20160816 06:30:00","WPI Inflation","","","","1"
"United Kingdom","20160816 08:30:00","Retail Price Index (YoY)","","","","1"
"United Kingdom","20160816 08:30:00","Retail Price Index (MoM)","","","","1"
"United Kingdom","20160816 08:30:00","DCLG House Price Index (YoY)","","","","1"
"United Kingdom","20160816 08:30:00","Producer Price Index - Output (MoM) n.s.a","","","","2"
"United Kingdom","20160816 08:30:00","Producer Price Index - Output (YoY) n.s.a","","","","2"
"United Kingdom","20160816 08:30:00","PPI Core Output (MoM) n.s.a","","","","2"
"United Kingdom","20160816 08:30:00",""PPI Core Output (YoY) n.s.a "","","","","2"
"United Kingdom","20160816 08:30:00","Producer Price Index - Input (YoY) n.s.a","","","","2"
"United Kingdom","20160816 08:30:00","Producer Price Index - Input (MoM) n.s.a","","","","2"
"United Kingdom","20160816 08:30:00","Core Consumer Price Index (YoY)","","","","3"
"European Monetary Union","20160816 08:30:00","Core Consumer Price Index (YoY)","","","","2"
"United Kingdom","20160816 08:30:00","Consumer Price Index (YoY)","","","","3"
"European Monetary Union","20160816 08:30:00","Consumer Price Index (YoY)","","","","2"
"United Kingdom","20160816 08:30:00","Consumer Price Index (MoM)","","","","2"
"Germany","20160816 09:00:00","ZEW Survey - Current Situation","","","","2"
"Germany","20160816 09:00:00","ZEW Survey - Economic Sentiment","","","","2"
"European Monetary Union","20160816 09:00:00","Trade Balance n.s.a.","","","","2"
"European Monetary Union","20160816 09:00:00","Trade Balance s.a.","","","","2"
"European Monetary Union","20160816 09:00:00","ZEW Survey - Economic Sentiment","","","","2"
"United States","20160816 12:30:00","Housing Starts (MoM)","","","","2"
"United States","20160816 12:30:00","Building Permits (MoM)","","","","2"
"United States","20160816 12:30:00","Consumer Price Index Core s.a","","","","2"
"United States","20160816 12:30:00","Consumer Price Index n.s.a (MoM)","","","","2"
"United States","20160816 12:30:00","Consumer Price Index (MoM)","","","","2"
"United States","20160816 12:30:00","Consumer Price Index Ex Food & Energy (MoM)","","","","2"
"United States","20160816 12:30:00","Consumer Price Index (YoY)","","","","2"
"United States","20160816 12:30:00","Consumer Price Index Ex Food & Energy (YoY)","","","","2"
"Canada","20160816 12:30:00","Manufacturing Shipments (MoM)","","","","1"
"United States","20160816 12:55:00","Redbook index (MoM)","","","","1"
"United States","20160816 12:55:00","Redbook index (YoY)","","","","1"
"United States","20160816 13:15:00","Industrial Production (MoM)","","","","2"
"United States","20160816 13:15:00","Capacity Utilization","","","","2"
"New Zealand","20160816 14:00:00","GDT Price Index","","","","1"
"United States","20160816 15:30:00","52-Week Bill auction","","","","1"
"United States","20160816 15:30:00","4-Week Bill Auction","","","","1"
"United States","20160816 16:30:00","Fed's Lockhart speech","","","","1"
"United States","20160816 20:30:00","API Weekly Crude Oil Stock","","","","1"
"New Zealand","20160816 22:45:00","Producer Price Index - Output (QoQ)","","","","1"
"New Zealand","20160816 22:45:00","Producer Price Index - Input (QoQ)","","","","1"
"New Zealand","20160816 22:45:00","Employment Change","","","","2"
"New Zealand","20160816 22:45:00","Unemployment Rate","","","","2"
"New Zealand","20160816 22:45:00","Participation Rate","","","","2"
