"country","date","name","actual","consensus","previous","volatility"
"China","20161011 00:00:00","FDI - Foreign Direct Investment (YTD) (YoY)","","","","2"
"India","20161011 00:00:00","Dussehra","","","","0"
"Australia","20161011 00:30:00","Mid-Year Economic and Fiscal Outlook","","","","2"
"Australia","20161011 00:30:00","Investment Lending for Homes","","","","2"
"Australia","20161011 00:30:00","Home Loans","","","","2"
"Australia","20161011 00:30:00","National Australia Bank's Business Confidence","","","","1"
"Australia","20161011 00:30:00","National Australia Bank's Business Conditions","","","","1"
"China","20161011 02:00:00","M2 Money Supply (YoY)","","","","1"
"China","20161011 02:00:00","New Loans","","","","1"
"United States","20161011 02:00:00","Fed's Evans Speech","","","","1"
"New Zealand","20161011 03:00:00","RBNZ Assistant Governor McDermott Speech","","","","2"
"Japan","20161011 05:00:00","Eco Watchers Survey: Outlook","","","","2"
"Japan","20161011 05:00:00","Eco Watchers Survey: Current","","","","2"
"Japan","20161011 06:00:00","Machine Tool Orders (YoY)","","","","1"
"Germany","20161011 09:00:00","ZEW Survey - Current Situation","","","","2"
"Germany","20161011 09:00:00","ZEW Survey - Economic Sentiment","","","","2"
"Spain","20161011 09:00:00","12-Month Letras Auction","","","","1"
"Spain","20161011 09:00:00","6-Month Letras Auction","","","","1"
"European Monetary Union","20161011 09:00:00","ZEW Survey - Economic Sentiment","","","","2"
"United States","20161011 10:00:00","NFIB Business Optimism Index","","","","1"
"India","20161011 12:00:00","Trade Deficit Government","","","","1"
"Canada","20161011 12:15:00","Housing Starts s.a (YoY)","","","","2"
"United States","20161011 12:55:00","Redbook index (YoY)","","","","1"
"United States","20161011 12:55:00","Redbook index (MoM)","","","","1"
"United States","20161011 14:00:00","Labor Market Conditions Index","","","","2"
"United States","20161011 15:30:00","52-Week Bill auction","","","","1"
"United States","20161011 15:30:00","4-Week Bill Auction","","","","1"
"United States","20161011 15:30:00","3-Month Bill Auction","","","","1"
"United States","20161011 15:30:00","6-Month Bill Auction","","","","1"
"Australia","20161011 23:30:00","Westpac Consumer Confidence","","","","2"
"Japan","20161011 23:50:00","Machinery Orders (YoY)","","","","1"
"Japan","20161011 23:50:00","Machinery Orders (MoM)","","","","1"
