"country","date","name","actual","consensus","previous","volatility"
"China","20120101 01:00:00","NBS Manufacturing PMI","50.3","","49.0","2"
"Sweden","20120102 07:30:00","Purchasing Managers Index Manufacturing (MoM)","48.9","","47.6","1"
"Spain","20120102 08:13:00","Purchasing Manager Index Manufacturing","43.7","","43.8","1"
"Italy","20120102 08:45:00","Purchasing Manager Index Manufacturing","44.3","43.8","44.0","1"
"France","20120102 08:50:00","Manufacturing PMI","48.9","48.7","47.3","1"
"Germany","20120102 08:55:00","Purchasing Manager Index Manufacturing","48.4","48.1","47.9","2"
"European Monetary Union","20120102 09:00:00","Purchasing Manager Index Manufacturing","46.9","46.9","46.4","2"
"Brazil","20120102 17:30:00","Trade Balance","3.800B","","0.583B","1"
"Australia","20120102 22:30:00","AiG Performance of Mfg Index","50.2","","47.8","2"
"Australia","20120103 05:30:00","RBA Commodity Index SDR (YoY)","10.9%","","17.5%","1"
"Switzerland","20120103 08:30:00","SVME - Purchasing Managers' Index","50.7","45.7","44.8","2"
"Germany","20120103 08:55:00","Unemployment Change","-22K","-10K","-20K","3"
"Germany","20120103 08:55:00","Unemployment Rate s.a.","6.8%","6.9%","6.9%","2"
"United Kingdom","20120103 09:30:00","Purchasing Manager Index Manufacturing","49.6","47.3","47.7","2"
"United States","20120103 15:00:00","Construction Spending (MoM)","1.2%","0.5%","-0.2%","2"
"United States","20120103 15:00:00","ISM Manufacturing","53.9","53.2","52.7","2"
"United States","20120103 15:00:00","ISM Prices Paid","47.5","47.9","45.0","2"
"United States","20120103 19:00:00","FOMC Minutes","","","","3"
"France","20120104 07:45:00","Consumer Spending (MoM)","-0.1%","","0.1%","1"
"Spain","20120104 08:13:00","Purchasing Manager Index Services","42.1","","36.8","1"
"Italy","20120104 08:45:00","Purchasing Manager Index Services","44.5","45.3","45.8","1"
"France","20120104 08:50:00","Services PMI","50.3","50.2","49.6","1"
"Germany","20120104 08:53:00","Purchasing Manager Index Services","52.4","52.7","50.3","2"
"European Monetary Union","20120104 08:58:00","Purchasing Manager Index Services","48.8","48.3","47.5","2"
"United Kingdom","20120104 09:30:00","M4 Money Supply (MoM)","-0.6%","","-0.3%","1"
