#chn-no	#prod			#feed	#ip				#port		
1		XLON_0-H		XA		224.0.82.2		31101
1		XLON_0-H		XC		224.0.82.34		31101
2		XLON_I-R		XA		224.0.82.2		31102
2		XLON_I-R		XC		224.0.82.34		31102
3		XLON_S-Z		XA		224.0.82.2		31103
3		XLON_S-Z		XC		224.0.82.34		31103
4		XDUB			XA		224.0.82.2		31103
4		XDUB			XC		224.0.82.34		31103
5		XPAR_0-F		XA		224.0.82.4		31104
5		XPAR_0-F		XC		224.0.82.36		31104
6		XPAR_G-Z		XA		224.0.82.4		31105
6		XPAR_G-Z		XC		224.0.82.36		31105
7		XAMS			XA		224.0.82.6		31106
7		XAMS			XC		224.0.82.38		31106
8		XBRU			XA		224.0.82.6		31106
8		XBRU			XC		224.0.82.38		31106
9		XLIS			XA		224.0.82.6		31106
9		XLIS			XC		224.0.82.38		31106
10		XETR_0-E		XA		224.0.82.8		31107
10		XETR_0-E		XC		224.0.82.40		31107
11		XFRA_0-E		XA		224.0.82.8		31107		
11		XFRA_0-E		XC		224.0.82.40		31107
12		XETR_F-Z		XA		224.0.82.8		31108
12		XETR_F-Z		XC		224.0.82.40		31108
13		XFRA_F-Z		XA		224.0.82.8		31108
13		XFRA_F-Z		XC		224.0.82.40		31108
14		WBAH			XA		224.0.82.8		31108
14		WBAH			XC		224.0.82.40		31108
15		MTAA_0-M		XA		224.0.82.10		31109
15		MTAA_0-M		XC		224.0.82.42		31109
16		ETFP_0-M		XA		224.0.82.10		31109
16		ETFP_0-M		XC		224.0.82.42		31109
17		XMCE_0-M		XA		224.0.82.10		31109
17		XMCE_0-M		XC		224.0.82.42		31109
18		MTAA_N-Z		XA		224.0.82.10		31110
18		MTAA_N-Z		XC		224.0.82.42		31110
19		ETFP_N-Z		XA		224.0.82.10		31110
19		ETFP_N-Z		XC		224.0.82.42		31110
20		XMCE_N-Z		XA		224.0.82.10		31110
20		XMCE_N-Z		XC		224.0.82.42		31110
21		XVTX			XA		224.0.82.12		31111
21		XVTX			XC		224.0.82.44		31111
22		XSWX			XA		224.0.82.12		31111
22		XSWX			XC		224.0.82.44		31111
23		XSTO			XA		224.0.82.12		31112
23		XSTO			XC		224.0.82.44		31112
24		XHEL			XA		224.0.82.12		31112
24		XHEL			XC		224.0.82.44		31112
25		XOSL			XA		224.0.82.12		31112
25		XOSL			XC		224.0.82.44		31112
26		XCSE			XA		224.0.82.12		31112
26		XCSE			XC		224.0.82.44		31112
