cme_ilink_ors               ORS
mktDD                   P
plaza2DD                   P
P2MQRouter		P
mktDD_lbw               P
TMX-mds                             P   
chiXDD                  P
nasdaqL1DD              P
nasdaqDD                P
mktDD_shm               P
cme_shm_mds_logger          P
eurex_shm_mds_logger            P
chix_l1_live_source_shm_data_logger P
eurex_lowbw_live_source_shm_data_logger P
hkex_shm_data_logger            P
eurex_multisource_shm_writer        P
eurex_hybrid_shm_mds_logger     P
mktDDNTA                P
s_trader                    C
sdtrader                    C
tradeinit                   C
tmx_mds_data_logger_via_shm_source  C   
TMXATR                  N
cme_live_source_logger          N   
eurex_live_source_logger        N
fixfast-mds_MCAST           N
mds_logger_MCAST            N
ors_binary_logger           N
ors_broadcast_logger            N
our_extended_bidask_mkt_book_util   N
all_exchange_ors_binary_capture     N
CombinedShmWriter P
OSE-arb-daemon P
chiXDD P
