"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","GSM STAGE 
"
1,"ADROITINFO","Adroit Infotech Limited","INE737B01033","II"
2,"ALPSINDUS","Alps Industries Limited","INE093B01015","0"
3,"ANKITMETAL","Ankit Metal & Power Limited","INE106I01010","I"
4,"ASIL","Amit Spinning Industries Limited","INE988A01026","VI"
5,"ATNINTER","ATN International Limited","INE803A01027","III"
6,"AUTORIDFIN","Autoriders Finance Limited","INE450A01019","VI"
7,"BAFNAPH","Bafna Pharmaceuticals Limited","INE878I01022","IV"
8,"BALKRISHNA","Balkrishna Paper Mills Limited","INE875R01011","I"
9,"BLUEBLENDS","Blue Blends (I) Limited","INE113O01014","0"
10,"BLUECHIP","Blue Chip India Limited","INE657B01025","IV"
11,"BLUECOAST","Blue Coast Hotels Limited","INE472B01011","II"
12,"BURNPUR","Burnpur Cement Limited","INE817H01014","II"
13,"CALSOFT","California Software Company Limited","INE526B01014","0"
14,"CANDC","C & C Constructions Limited","INE874H01015","0"
15,"CASTEXTECH","Castex Technologies Limited","INE068D01021","IV"
16,"CCCL","Consolidated Construction Consortium Limited","INE429I01024","II"
17,"DALALSTCOM","DSJ Communications Limited","INE055C01020","VI"
18,"DCMFINSERV","DCM Financial Services Limited","INE891B01012","0"
19,"DHARSUGAR","Dharani Sugars & Chemicals Limited","INE988C01014","III"
20,"DIAPOWER","Diamond Power Infra Ltd","INE989C01012","II"
21,"DNAMEDIA","Diligent Media Corporation Limited","INE016M01021","II"
22,"EDUCOMP","Educomp Solutions Limited","INE216H01027","I"
23,"EMCO","Emco Limited","INE078A01026","I"
24,"EUROCERA","Euro Ceramics Limited","INE649H01011","0"
25,"EUROMULTI","Euro Multivision Limited","INE063J01011","0"
26,"FARMAXIND","Farmax India Limited","INE890I01035","VI"
27,"GBGLOBAL","GB Global Limited","INE087J01028","I"
28,"GISOLUTION","GI Engineering Solutions Limited","INE065J01016","II"
29,"GLFL","Gujarat Lease Financing Limited","INE540A01017","III"
30,"GLOBOFFS","Global Offshore Services Limited","INE446C01013","0"
31,"GOLDENTOBC","Golden Tobacco Limited","INE973A01010","0"
32,"GTL","GTL Limited","INE043A01012","IV"
33,"HINDMOTORS","Hindustan Motors Limited","INE253A01025","0"
34,"HOTELRUGBY","Hotel Rugby Limited","INE275F01019","0"
35,"IL&FSTRANS","IL&FS Transportation Networks Limited","INE975G01012","0"
36,"IMPEXFERRO","Impex Ferro Tech Limited","INE691G01015","I"
37,"INDSWFTLTD","Ind-Swift Limited","INE788B01028","II"
38,"INFOMEDIA","Infomedia Press Limited","INE669A01022","III"
39,"INTEGRA","Integra Garments and Textiles Limited","INE418N01027","0"
40,"JAIHINDPRO","Jaihind Projects Limited","INE343D01010","0"
41,"JETAIRWAYS","Jet Airways (India) Limited","INE802G01018","I"
42,"JIKIND","JIK Industries Limited","INE026B01049","IV"
43,"JITFINFRA","JITF Infralogistics Limited","INE863T01013","0"
44,"JPOLYINVST","Jindal Poly Investment and Finance Company Limited","INE147P01019","I"
45,"JYOTISTRUC","Jyoti Structures Limited","INE197A01024","IV"
46,"KSK","KSK Energy Ventures Limited","INE143H01015","III"
47,"LAKPRE","Laxmi Precision Screws Limited","INE651C01018","0"
48,"LPDC","Landmark Property Development Company Limited","INE197J01017","0"
49,"MADHUCON","Madhucon Projects Limited","INE378D01032","III"
50,"MAGNUM","Magnum Ventures Limited","INE387I01016","I"
51,"MANGTIMBER","Mangalam Timber Products Limited","INE805B01012","0"
52,"MASKINVEST","Mask Investments Limited","INE885F01015","II"
53,"MELSTAR","Melstar Information Technologies Limited","INE817A01019","II"
54,"METALFORGE","Metalyst Forgings Limited","INE425A01011","II"
55,"METKORE","Metkore Alloys & Industries Limited","INE592I01029","0"
56,"MIC","MIC Electronics Limited","INE287C01029","III"
57,"MRO-TEK","MRO-TEK Realty Limited","INE398B01018","0"
58,"MUKANDENGG","Mukand Engineers Limited","INE022B01014","0"
59,"NATNLSTEEL","National Steel And Agro Industries Limited","INE088B01015","II"
60,"NEXTMEDIA","Next Mediaworks Limited","INE747B01016","0"
61,"NIBL","NRB Industrial Bearings Limited","INE047O01014","II"
62,"NICCO","Nicco Corporation Limited","INE241C01026","VI"
63,"NITINFIRE","Nitin Fire Protection Industries Limited","INE489H01020","0"
64,"NKIND","NK Industries Limited","INE542C01019","0"
65,"NTL","Neueon Towers Limited","INE333I01036","0"
66,"OMKARCHEM","Omkar Speciality Chemicals Limited","INE474L01016","0"
67,"PAEL","PAE Limited","INE766A01018","0"
68,"PARABDRUGS","Parabolic Drugs Limited","INE618H01016","0"
69,"PARASPETRO","Paras Petrofils Limited","INE162C01024","VI"
70,"PATSPINLTD","Patspin India Limited","INE790C01014","II"
71,"PIRPHYTO","Piramal Phytocare Limited","INE122J01015","I"
72,"PRAKASHSTL","Prakash Steelage Limited","INE696K01024","0"
73,"PRASGLOFIN","Silicon Valley Infotech Limited","INE913A01016","VI"
74,"PREMIER","Premier Limited","INE342A01018","0"
75,"PROSEED","Proseed India Limited","INE217G01027","IV"
76,"PUNJLLOYD","Punj Lloyd Limited","INE701B01021","I"
77,"RADAAN","Radaan Mediaworks India Limited","INE874F01027","II"
78,"RAJRAYON","Raj Rayon Industries Limited","INE533D01024","IV"
79,"RAMSARUP","Ramsarup Industries Limited","INE005D01015","III"
80,"RASOYPR","Rasoya Proteins Limited","INE904G01038","VI"
81,"RMMIL","Resurgere Mines & Minerals Limited","INE774I01031","VI"
82,"ROHITFERRO","Rohit Ferro-Tech Limited","INE248H01012","0"
83,"S&SPOWER","S&S Power Switchgears Limited","INE902B01017","0"
84,"SABEVENTS","Sab Events & Governance Now Media Limited","INE860T01019","0"
85,"SABTN","Sri Adhikari Brothers Television Network Limited","INE416A01036","III"
86,"SATHAISPAT","Sathavahana Ispat Limited","INE176C01016","II"
87,"SEZAL","Sezal Glass Limited","INE955I01036","0"
