Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,186.65","11,213.60","11,142.05","11,205.15","5.00","0.04","822.89","4,770.23","12,430.50","7,511.10","3.22","3.75"
"UPL","465.50","477.60","465.50","477.40","13.50","2.91","23.93","113.28","617.75","240.15","-10.40","5.87"
"DRREDDY","4,590.00","4,707.00","4,586.00","4,690.00","106.95","2.33","4.25","198.09","4,707.00","2,351.20","83.43","22.66"
"ASIANPAINT","1,727.55","1,752.00","1,725.70","1,751.50","23.95","1.39","3.33","58.08","1,916.70","1,431.20","12.33","0.33"
"ZEEL","149.45","151.30","148.75","150.40","1.65","1.11","39.76","59.67","376.00","114.00","-54.13","-16.58"
"ONGC","78.15","79.00","78.10","78.90","0.85","1.09","26.49","20.82","149.65","50.00","-39.54","-3.72"
"GAIL","96.25","97.00","95.65","96.65","1.00","1.05","18.10","17.47","148.75","65.00","-20.58","-6.03"
"HDFCLIFE","607.90","613.85","607.10","612.50","5.60","0.92","3.15","19.29","647.60","340.00","18.22","5.13"
"BAJAJFINSV","6,285.00","6,359.95","6,250.00","6,353.00","57.30","0.91","0.91","57.48","9,950.00","3,985.30","-11.18","-3.59"
"MARUTI","6,498.00","6,622.50","6,481.85","6,610.00","54.25","0.83","2.80","183.61","7,758.70","4,001.10","14.46","6.15"
"INDUSINDBK","496.00","501.90","492.00","498.70","3.80","0.77","23.79","118.42","1,596.55","235.55","-65.04","-5.24"
"ADANIPORTS","323.90","327.60","321.55","326.00","2.20","0.68","5.14","16.75","428.85","203.00","-12.42","-5.77"
"ULTRACEMCO","4,026.00","4,072.00","4,026.00","4,054.85","26.50","0.66","0.53","21.49","4,754.10","2,910.00","-6.61","4.99"
"BPCL","412.50","417.00","411.05","412.00","2.45","0.60","18.09","74.97","549.00","252.00","24.43","8.46"
"POWERGRID","175.80","177.00","175.55","176.85","0.95","0.54","3.97","7.02","214.25","122.15","-11.06","2.17"
"TECHM","657.75","664.90","654.40","663.65","3.30","0.50","6.12","40.36","845.90","471.40","-1.60","13.09"
"BRITANNIA","3,865.00","3,886.00","3,857.65","3,876.15","18.50","0.48","0.74","28.71","4,010.00","2,100.00","52.57","5.37"
"CIPLA","738.00","739.65","728.05","734.60","3.50","0.48","17.79","130.78","739.70","355.30","41.73","15.40"
"BAJFINANCE","3,333.00","3,369.00","3,310.00","3,360.95","15.75","0.47","12.28","410.88","4,923.40","1,783.00","2.91","0.27"
"TCS","2,308.00","2,328.00","2,302.85","2,319.00","10.90","0.47","7.35","170.38","2,358.00","1,506.05","4.77","2.16"
"TATASTEEL","395.90","403.80","393.10","402.35","1.90","0.47","38.79","154.60","506.00","250.85","5.35","21.81"
"M&M","610.10","614.55","605.50","612.40","2.75","0.45","6.97","42.51","625.80","245.40","18.16","9.36"
"BHARTIARTL","556.00","558.50","552.05","557.75","2.45","0.44","11.96","66.41","612.00","325.50","52.35","-1.66"
"WIPRO","281.05","281.85","278.80","280.85","1.20","0.43","13.01","36.46","290.80","159.40","6.97","24.88"
"AXISBANK","431.45","435.50","427.15","434.70","1.70","0.39","30.29","130.75","765.85","286.00","-34.13","-2.83"
"TITAN","1,114.95","1,128.05","1,105.35","1,124.00","3.85","0.34","5.06","56.75","1,389.95","720.90","9.29","10.60"
"EICHERMOT","21,700.00","21,824.90","21,560.00","21,753.50","72.20","0.33","0.39","85.01","23,450.00","12,450.10","32.19","9.15"
"TATAMOTORS","117.00","118.70","116.00","117.15","0.35","0.30","88.44","103.60","201.70","63.50","-0.21","7.43"
"SBIN","191.45","191.75","189.55","191.50","0.55","0.29","91.98","175.27","351.00","149.45","-33.94","1.54"
"NTPC","86.20","86.70","86.10","86.40","0.25","0.29","11.85","10.24","129.65","73.20","-29.78","-6.65"
"COALINDIA","129.50","130.35","128.55","129.20","0.35","0.27","15.85","20.52","217.55","119.20","-37.31","-2.75"
"SHREECEM","21,900.00","21,922.00","21,621.30","21,780.80","57.95","0.27","0.06","13.45","25,355.00","15,410.00","7.93","-4.57"
"RELIANCE","2,129.80","2,157.00","2,120.20","2,138.60","4.50","0.21","37.19","797.17","2,198.80","866.98","92.77","17.28"
"IOC","87.70","88.40","87.05","87.35","0.15","0.17","32.86","28.78","156.00","71.15","-32.29","1.39"
"LT","922.55","926.85","917.50","923.05","0.90","0.10","3.38","31.16","1,551.00","661.00","-32.13","-2.18"
"KOTAKBANK","1,341.50","1,343.35","1,328.80","1,341.00","0.90","0.07","4.13","55.19","1,740.00","1,001.00","-9.16","-1.99"
"BAJAJ-AUTO","2,991.80","3,009.90","2,975.00","2,993.40","1.60","0.05","0.96","28.82","3,315.15","1,788.65","14.91","5.14"
"ITC","195.50","196.35","194.15","195.45","0.10","0.05","27.01","52.70","266.30","134.60","-22.95","0.62"
"HINDUNILVR","2,223.00","2,234.80","2,212.00","2,217.75","-2.70","-0.12","2.74","60.89","2,614.30","1,740.00","24.79","2.95"
"JSWSTEEL","236.80","241.00","235.80","239.05","-0.45","-0.19","13.66","32.62","296.75","132.50","12.63","25.26"
"NESTLEIND","16,668.90","16,730.00","16,600.00","16,633.10","-44.05","-0.26","0.09","14.81","18,369.95","11,700.00","41.23","-1.65"
"HDFC","1,774.95","1,781.80","1,763.00","1,778.00","-5.75","-0.32","7.24","128.29","2,499.90","1,473.45","-18.26","-5.76"
"INFRATEL","192.00","193.35","189.35","190.90","-0.65","-0.34","11.28","21.53","296.50","120.05","-22.26","-14.36"
"GRASIM","634.00","638.55","630.05","632.00","-2.20","-0.35","3.04","19.25","836.90","385.05","-14.36","1.34"
"HINDALCO","176.45","177.80","175.35","177.30","-0.70","-0.39","19.80","34.96","221.20","84.90","0.51","16.41"
"ICICIBANK","359.45","359.45","353.15","356.75","-2.00","-0.56","52.45","186.54","552.20","268.30","-12.65","-5.13"
"HEROMOTOCO","2,710.00","2,710.00","2,670.10","2,688.30","-16.15","-0.60","1.62","43.39","3,022.90","1,475.00","7.31","-2.22"
"SUNPHARMA","532.30","535.45","527.30","529.00","-3.25","-0.61","17.71","93.89","541.45","312.00","25.64","10.38"
"HDFCBANK","1,034.85","1,036.70","1,022.75","1,034.05","-6.65","-0.64","20.30","208.96","1,305.50","738.75","-52.65","-6.43"
"INFY","969.45","969.45","952.05","961.50","-9.35","-0.96","19.03","182.37","986.45","509.25","23.89","21.07"
"HCLTECH","699.90","699.90","691.10","697.05","-7.85","-1.11","15.23","105.79","718.00","375.25","-31.84","17.73"

