Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
01/02/2014 08:30,US,1),,Initial Jobless Claims,28-Dec,344K,339K,338K,341K,98.2301,INJCJC Index
01/02/2014 08:30,US,2),,Continuing Claims,21-Dec,2900K,2833K,2923K,2931K,68.7611,INJCSP Index
01/02/2014 08:58,US,3),,Markit US PMI Final,Dec,54.7,55,54.7,--,7.9646,ECONMUSF Index
01/02/2014 09:45,US,4),,Bloomberg Consumer Comfort,29-Dec,--,-28.7,-27.4,--,63.7168,COMFCOMF Index
01/02/2014 10:00,US,5),,ISM Manufacturing,Dec,56.8,--,57.3,--,94.6903,NAPMPMI Index
01/02/2014 10:00,US,6),,ISM Prices Paid,Dec,53,--,52.5,--,69.9115,NAPMPRIC Index
01/02/2014 10:00,US,7),,Construction Spending MoM,Nov,0.60%,--,0.80%,--,77.8761,CNSTTMOM Index
01/03/2014 09:45,US,8),,ISM New York,Dec,--,--,69.5,--,10.6195,NYPMCURR Index
01/03/2014 17:00,US,9),,Total Vehicle Sales,Dec,16.00M,--,16.31M,--,40.708,SAARTOTL Index
01/03/2014 17:00,US,10),,Domestic Vehicle Sales,Dec,12.50M,--,12.62M,--,33.6283,SAARDTOT Index
01/06/2014 10:00,US,11),,ISM Non-Manf. Composite,Dec,54.5,--,53.9,--,73.4513,NAPMNMI Index
01/06/2014 10:00,US,12),,Factory Orders,Nov,1.70%,--,-0.90%,--,84.0708,TMNOCHNG Index
01/07/2014 08:30,US,13),,Trade Balance,Nov,-$40.0B,--,-$40.6B,--,82.3009,USTBTOT Index
01/07/2014 10:00,US,14),,IBD/TIPP Economic Optimism,Jan,--,--,43.1,--,15.0442,ECONUSIB Index
01/08/2014 07:00,US,15),,MBA Mortgage Applications,3-Jan,--,--,-6.30%,--,92.3077,MBAVCHNG Index
01/08/2014 08:15,US,16),,ADP Employment Change,Dec,195K,--,215K,--,80.531,ADP CHNG Index
01/08/2014 14:00,US,17),,Fed Releases Minutes from Dec 17-18 FOMC Meeting,,,,,,0,
01/08/2014 15:00,US,18),,Consumer Credit,Nov,$13.250B,--,$18.186B,--,39.823,CICRTOT Index
01/09/2014 07:30,US,19),,Challenger Job Cuts YoY,Dec,--,--,-20.60%,--,32.7434,CHALYOY% Index
01/09/2014 07:30,US,20),,RBC Consumer Outlook Index,Jan,--,--,49.7,--,13.2743,ICSHNATL Index
01/09/2014 08:30,US,21),,Initial Jobless Claims,4-Jan,--,--,339K,--,98.2301,INJCJC Index
01/09/2014 08:30,US,22),,Continuing Claims,28-Dec,--,--,2833K,--,68.7611,INJCSP Index
01/09/2014 09:45,US,23),,Bloomberg Consumer Comfort,5-Jan,--,--,-28.7,--,63.7168,COMFCOMF Index
01/10/2014 08:30,US,24),,Two-Month Payroll Net Revision,Dec,--,--,8K,--,4.42478,ECONGECC Index
01/10/2014 08:30,US,25),,Revision of Seasonally Adjusted Household Survey Data,,,,,,0,
01/10/2014 08:30,US,26),,Change in Nonfarm Payrolls,Dec,195K,--,203K,--,99.115,NFP TCH Index
01/10/2014 08:30,US,27),,Change in Private Payrolls,Dec,193K,--,196K,--,23.0088,NFP PCH Index
01/10/2014 08:30,US,28),,Change in Manufact. Payrolls,Dec,15K,--,27K,--,69.3805,USMMMNCH Index
01/10/2014 08:30,US,29),,Unemployment Rate,Dec,7.00%,--,7.00%,--,89.2035,USURTOT Index
01/10/2014 08:30,US,30),,Average Hourly Earnings MoM,Dec,0.20%,--,0.20%,--,19.469,AHE MOM% Index
01/10/2014 08:30,US,31),,Average Hourly Earnings YoY,Dec,--,--,2.00%,--,17.6991,AHE YOY% Index
01/10/2014 08:30,US,32),,Average Weekly Hours All Employees,Dec,34.5,--,34.5,--,18.5841,AWH TOTL Index
01/10/2014 08:30,US,33),,Change in Household Employment,Dec,--,--,818,--,14.1593,USEMNCHG Index
01/10/2014 08:30,US,34),,Underemployment Rate,Dec,--,--,13.20%,--,12.3894,USUDMAER Index
01/10/2014 08:30,US,35),,Labor Force Participation Rate,Dec,--,--,63.00%,--,0.884956,PRUSTOT Index
01/10/2014 10:00,US,36),,Wholesale Trade Sales MoM,Nov,0.60%,--,1.00%,--,2.65487,MWSLCHNG Index
01/10/2014 10:00,US,37),,Wholesale Inventories MoM,Nov,0.40%,--,1.40%,--,78.7611,MWINCHNG Index
01/13/2014 14:00,US,38),,Monthly Budget Statement,Dec,--,--,-$135.2B,--,74.3363,FDDSSD Index
01/14/2014 07:30,US,39),,NFIB Small Business Optimism,Dec,--,--,92.5,--,58.4071,SBOITOTL Index
01/14/2014 08:30,US,40),,Retail Sales Advance MoM,Dec,--,--,0.70%,--,89.3805,RSTAMOM Index
01/14/2014 08:30,US,41),,Retail Sales Ex Auto MoM,Dec,--,--,0.40%,--,62.5664,RSTAXMOM Index
01/14/2014 08:30,US,42),,Retail Sales Ex Auto and Gas,Dec,--,--,0.60%,--,60.177,RSTAXAG% Index
01/14/2014 08:30,US,43),,Retail Sales Control Group,Dec,--,--,0.50%,--,9.73451,RSTAXAGM Index
01/14/2014 08:30,US,44),,Import Price Index MoM,Dec,--,--,-0.60%,--,76.9912,IMP1CHNG Index
