"country","date","name","actual","consensus","previous","volatility"
"Australia","20120814 01:30:00","National Australia Bank's Business Confidence","",""," -3.000 ","2"
"Germany","20120814 06:00:00","Gross Domestic Product s.a (QoQ)","","0.200  %","0.500  %","3"
"Germany","20120814 06:00:00","Gross Domestic Product n.s.a (YoY)","","1.000  %","1.700  %","3"
"Germany","20120814 07:00:00","Gross Domestic Product w.d.a (YoY)","","1.100  %","1.200  %","3"
"United Kingdom","20120814 08:30:00","Core Consumer Price Index (YoY)","","","2.100  %","3"
"European Monetary Union","20120814 08:30:00","Core Consumer Price Index (YoY)","","","2.100  %","3"
"United Kingdom","20120814 08:30:00","Consumer Price Index (MoM)","","-0.100  %","-0.400  %","2"
"United Kingdom","20120814 08:30:00","Consumer Price Index (YoY)","","2.300  %","2.400  %","3"
"European Monetary Union","20120814 08:30:00","Consumer Price Index (YoY)","","2.300  %","2.400  %","3"
"United Kingdom","20120814 09:00:00","BOE Inflation Letter","","","","3"
"European Monetary Union","20120814 09:00:00","BOE Inflation Letter","","","","3"
"European Monetary Union","20120814 09:00:00","Gross Domestic Product s.a. (QoQ)","","-0.200  %","0.900  %","3"
"European Monetary Union","20120814 09:00:00","Gross Domestic Product s.a. (YoY)","","-0.400  %","3.300  %","3"
"European Monetary Union","20120814 09:00:00","Industrial Production w.d.a. (YoY)","","-2.200  %","-2.800  %","2"
"Germany","20120814 09:00:00","ZEW Survey - Economic Sentiment",""," -19.600 "," -19.600 ","3"
"Germany","20120814 09:00:00","ZEW Survey - Current Situation",""," 18.000 "," 21.100 ","2"
"European Monetary Union","20120814 09:00:00","ZEW Survey - Economic Sentiment","",""," -22.300 ","2"
"Poland","20120814 12:00:00","Consumer Price Index (MoM)","","","0.200  %","1"
"Poland","20120814 12:00:00","Consumer Price Index (YoY)","","","4.300  %","1"
"Poland","20120814 12:00:00","M3 Money Supply (YoY)","","","11.100  %","1"
"United States","20120814 12:30:00","Producer Price Index (YoY)","","0.500  %","0.700  %","2"
"United States","20120814 12:30:00","Producer Price Index (MoM)","","0.200  %","0.100  %","1"
"United States","20120814 12:30:00","Producer Price Index ex Food & Energy (MoM)","","0.200  %","0.200  %","1"
"United States","20120814 12:30:00","Producer Price Index ex Food & Energy (YoY)","","2.300  %","2.600  %","2"
"United States","20120814 12:30:00","Retail Sales (MoM)","","0.300  %","-0.500  %","3"
"United States","20120814 12:30:00","Retail Sales ex Autos (MoM)","","0.400  %","-0.400  %","2"
"United States","20120814 14:00:00","Business Inventories","","0.300  %","0.300  %","2"
"United States","20120814 14:00:00","IBD/TIPP Economic Optimism (MoM)","",""," 47.000 ","1"
