"country","date","name","actual","consensus","previous","volatility"
"Switzerland","20110101 00:00:00","New Year's Day","","","","0"
"Japan","20110101 00:00:00","New Year's Day","","","","0"
"Germany","20110101 00:00:00","New Year's Day","","","","0"
"United States","20110101 00:00:00","New Year's Day","","","","0"
"Canada","20110101 00:00:00","New Year's Day","","","","0"
"China","20110101 01:00:00","Manufacturing PMI","53.9","","55.2","1"
"Switzerland","20110102 00:00:00","Bank Holiday","","","","0"
"Australia","20110103 00:00:00","New Year's Day","","","","0"
"United Kingdom","20110103 00:00:00","New Year's Day","","","","0"
"Japan","20110103 00:00:00","Bank Holiday","","","","0"
"Switzerland","20110103 08:30:00","SVME - Purchasing Managers' Index","61.2","61.5","61.8","2"
"Germany","20110103 08:55:00","Purchasing Manager Index Manufacturing","60.7","60.9","58.1","2"
"European Monetary Union","20110103 09:00:00","Purchasing Manager Index Manufacturing","57.1","56.8","55.3","2"
"United States","20110103 15:00:00","ISM Prices Paid","72.5","71.0","69.5","1"
"United States","20110103 15:00:00","ISM Manufacturing","58.5","56.9","56.6","2"
"United States","20110103 15:00:00","Construction Spending (MoM)","-0.2%","0.2%","0.7%","2"
"Australia","20110103 22:30:00","AiG Performance of Mfg Index","46.3","","47.6","2"
"Australia","20110104 05:30:00","RBA Commodity Index SDR (YoY)","47.7%","","45.7%","1"
"Germany","20110104 08:55:00","Unemployment Change","1K","-12K","-9K","2"
"Germany","20110104 08:55:40","Unemployment Rate s.a.","7.5%","","7.5%","2"
"United Kingdom","20110104 09:30:00","Mortgage Approvals","47.287K","47.000K","47.300K","2"
"United Kingdom","20110104 09:30:00","M4 Money Supply (YoY)","-1.5%","","-0.8%","2"
"United Kingdom","20110104 09:30:00","M4 Money Supply (MoM)","-0.6%","0.4%","0.7%","2"
"United Kingdom","20110104 09:30:09","Purchasing Manager Index Manufacturing","58.7","57.3","57.5","2"
"European Monetary Union","20110104 10:00:00","Consumer Price Index (YoY)","1.9%","2.0%","1.9%","2"
"United States","20110104 15:00:00","Factory Orders","1.3%","-0.1%","-0.7%","2"
"United States","20110104 15:00:00","Durable Goods Orders ex Transportation","4.5%","","2.4%","1"
"United States","20110104 15:00:00","Durable Goods Orders","-0.1%","","-1.3%","1"
"United States","20110104 19:00:00","FOMC Minutes","","","","2"
"United States","20110104 22:00:00","Total Vehicle Sales","12.55M","12.30M","12.26M","1"
"United States","20110104 22:00:00","Bloomberg Consumer Comfort Index","-45","","-44","1"
"Japan","20110104 23:50:51","Monetary Base (YoY)","7.0%","7.9%","7.6%","1"
"Australia","20110105 00:00:00","HIA New Home Sales (MoM)","-0.2%","","2.4%","2"
"Japan","20110105 05:00:00","Vehicle Sales (YoY)","-28.3%","","-30.7%","1"
"Germany","20110105 08:55:00","Purchasing Manager Index Services","59.2","58.3","59.2","2"
"European Monetary Union","20110105 09:00:00","Purchasing Manager Index Services","54.2","53.7","55.4","2"
"United Kingdom","20110105 09:30:12","PMI Construction","49.1","51.1","51.8","1"
"European Monetary Union","20110105 10:00:00","Producer Price Index (YoY)","4.5%","4.4%","4.3%","2"
"European Monetary Union","20110105 10:00:00","Industrial New Orders (YoY)","14.7%","18.8%","13.4%","1"
"European Monetary Union","20110105 10:00:00","Industrial New Orders s.a. (MoM)","1.4%","1.5%","-4.2%","2"
"European Monetary Union","20110105 10:00:54","Producer Price Index (MoM)","0.4%","0.3%","0.4%","2"
"United States","20110105 12:00:00","MBA Mortgage Applications","-3.9%","","-18.6%","1"
"United States","20110105 12:00:20","MBA Mortgage Applications","2.3%","","-3.9%","1"
"United States","20110105 13:15:00","ADP Employment Change","247K","100K","92K","2"
"Canada","20110105 13:30:00","Raw Material Price Index","3.5%","2.2%","2.1%","1"
"Canada","20110105 13:30:00","Industrial Product Price (MoM)","0.6%","0.5%","0.5%","1"
"United States","20110105 15:00:32","ISM Non-Manufacturing","57.1","55.6","55.0","2"
"United States","20110105 15:30:00","EIA Crude Oil Stocks change","-4.2M","","-1.3M","1"
"Australia","20110105 22:30:00","AiG Performance of Services Index","46.4","","46.2","2"
"Australia","20110106 00:30:00","Building Permits (MoM)","-4.2%","","8.3%","0"
"Australia","20110106 00:30:25","Building Permits (YoY)","-9.90%","","3.52%","1"
"Switzerland","20110106 08:15:00","Consumer Price Index (YoY)","0.5%","0.3%","0.2%","2"
"Switzerland","20110106 08:15:00","Consumer Price Index (MoM)","0.0%","-0.2%","0.2%","2"
"United Kingdom","20110106 08:30:00","Bank of England Credit Conditions Report (QoQ)","","","","2"
"United Kingdom","20110106 09:30:00","Purchasing Manager Index Services","49.7","53.0","53.0","2"
"European Monetary Union","20110106 10:00:00","Retail Sales (MoM)","-0.1%","0.3%","0.0%","2"
"European Monetary Union","20110106 10:00:00","Retail Sales (YoY)","1.0%","2.1%","0.9%","2"
"European Monetary Union","20110106 10:00:00","Industrial Confidence","5.1","1.9","1.8","2"
"European Monetary Union","20110106 10:00:00","Consumer Confidence","-11.0","-9.0","-9.4","2"
"European Monetary Union","20110106 10:00:00","Economic Confidence","106.9","105.5","105.6","1"
"Germany","20110106 11:00:00","Factory Orders n.s.a. (YoY)","20.6%","15.8%","18.2%","1"
"Germany","20110106 11:00:00","Factory Orders s.a. (MoM)","5.2%","0.9%","1.9%","2"
"United States","20110106 13:30:00","Continuing Jobless Claims","4127K","4090K","4150K","1"
"United States","20110106 13:30:00","Initial Jobless Claims","410K","400K","391K","1"
"Canada","20110106 15:00:00","Ivey Purchasing Managers Index","50.0","52.7","57.5","2"
"Switzerland","20110107 06:45:00","Unemployment Rate n.s.a (MoM)","3.8%","3.7%","3.6%","2"
"Germany","20110107 07:00:00","Trade Balance s.a.","€11.9B","€14.5B","€14.3B","2"
"Germany","20110107 07:00:00","Current Account","12.9B","15.5B","12.1B","1"
"Germany","20110107 07:00:47","Retail Sales (MoM)","-1.3%","1.1%","0.1%","1"
"European Monetary Union","20110107 10:00:00","Unemployment Rate","10.0%","10.1%","10.1%","2"
"European Monetary Union","20110107 10:00:00","Gross Domestic Product s.a. (YoY)","1.9%","1.9%","2.0%","2"
"European Monetary Union","20110107 10:00:00","Gross Domestic Product s.a. (QoQ)","0.3%","0.4%","1.0%","2"
"Germany","20110107 11:00:00","Industrial Production s.a. w.d.a. (YoY)","11.3%","11.1%","12.3%","2"
"Germany","20110107 11:00:00","Industrial Production s.a. (MoM)","-0.60%","-0.20%","2.75%","2"
"Canada","20110107 12:00:00","Net Change in Employment","30.4K","20.0K","6.2K","3"
"Canada","20110107 12:00:00","Unemployment Rate","7.6%","7.7%","7.6%","2"
"United States","20110107 13:30:00","Average Weekly Hours","34.3","34.3","34.3","1"
"United States","20110107 13:30:00","Unemployment Rate","9.4%","9.7%","9.8%","2"
"United States","20110107 13:30:00","Nonfarm Payrolls","121K","135K","71K","3"
"United States","20110107 13:30:00","Average Hourly Earnings (YoY)","1.8%","1.8%","1.6%","1"
"United States","20110107 14:30:52","Fed's Bernanke testifies","","","","2"
"United States","20110107 20:00:00","Consumer Credit Change","$2B","$0B","$7B","2"
"New Zealand","20110109 21:45:00","Trade Balance","-186M","-151M","-224M","2"
"Australia","20110109 23:30:00","AiG Performance of Construction Index","43.8","","42.2","2"
"Japan","20110110 00:00:00","Coming-of-Age Day","","","","0"
"Australia","20110110 00:30:00","Retail Sales s.a. (MoM)","0.4%","0.3%","-0.9%","2"
"China","20110110 03:00:01","Trade Balance","13.1B","20.9B","22.9B","2"
"United Kingdom","20110110 08:00:00","Halifax House Prices (MoM)","-1.3%","-0.3%","-0.2%","1"
"United Kingdom","20110110 08:00:00","Halifax House Prices (3m/YoY)","-1.6%","","-1.6%","1"
"Switzerland","20110110 09:00:00","Real Retail Sales (YoY)","1.8%","2.2%","3.5%","1"
"European Monetary Union","20110110 09:30:00","Sentix Investor Confidence","10.6","11.3","9.7","1"
"Canada","20110110 13:30:00","Building Permits (MoM)","-10.5%","1.2%","-6.2%","1"
"Canada","20110110 15:30:00","Bank of Canada Business Outlook Survey","","","","2"
"New Zealand","20110110 21:00:00","NZIER Business Confidence (QoQ)","8","","6","1"
"New Zealand","20110110 21:45:00","Building Permits s.a. (MoM)","7.8%","","-1.8%","1"
"United Kingdom","20110111 00:01:00","BRC Retail Sales Monitor - All (YoY)","-0.3%","","0.7%","2"
"Australia","20110111 00:30:00","Trade Balance","2.078B","2.050B","2.589B","2"
"Australia","20110111 00:30:00","ANZ Job Advertisements","1.2%","","3.0%","1"
"Japan","20110111 05:00:00","Coincident Index","102.1","102.2","100.7","1"
"Japan","20110111 05:00:00","Leading Economic Index","101.0","","97.7","1"
"China","20110111 06:30:00","M2 Money Supply (YoY)","19.7%","","19.5%","1"
"China","20110111 09:00:46","Foreign Exchange Reserves (QoQ)","¥2.847T","","¥2.648T","2"
"Canada","20110111 13:15:00","Housing Starts s.a (YoY)","169.0K","178.0K","198.2K","2"
"United States","20110111 15:00:00","Wholesale Inventories","0.0%","1.0%","1.7%","1"
"United States","20110111 22:00:00","Bloomberg Consumer Comfort Index","-40","","-45","1"
"Japan","20110111 23:50:00","Trade Balance - BOP Basis","¥259.7B","¥297.7B","¥912.9B","2"
"Japan","20110111 23:50:00","Money Supply M2+CD (YoY)","2.3%","2.6%","2.6%","1"
"Japan","20110111 23:50:00","Current Account n.s.a.","¥1145.1B","¥1149.7B","¥1462.6B","1"
"United Kingdom","20110112 00:01:00","BRC Shop Price Index (MoM)","2.1%","","2.0%","1"
"Australia","20110112 00:30:00","Investment Lending","-2.3%","","1.1%","1"
"Australia","20110112 00:30:00","Home Loans","2.5%","-1.5%","1.9%","2"
"Japan","20110112 05:00:00","Eco Watchers Survey: Outlook","43.9","","41.4","2"
"Japan","20110112 05:00:00","Eco Watchers Survey: Current","45.1","44.9","43.6","2"
"United Kingdom","20110112 09:30:00","Goods Trade Balance","£-8.460B","","£-8.591B","2"
"United Kingdom","20110112 09:30:00","Trade Balance; non-EU","£-4.888B","£-4.100B","£-4.038B","1"
"European Monetary Union","20110112 10:00:00","Industrial Production w.d.a. (YoY)","7.9%","5.9%","7.1%","1"
"European Monetary Union","20110112 10:00:00","Industrial Production s.a. (MoM)","1.4%","0.5%","0.8%","2"
"United States","20110112 12:00:00","MBA Mortgage Applications","2.2%","","2.3%","1"
"United States","20110112 13:30:00","Import Price Index (YoY)","4.8%","4.7%","8.6%","2"
