"country","date","name","actual","consensus","previous","volatility"
"China","20180101 00:00:00","New Year's Day","","","","0"
"Italy","20180101 00:00:00","New Year's Day","","","","0"
"Brazil","20180101 00:00:00","New Year's Day","","","","0"
"United Kingdom","20180101 00:00:00","New Year's Day","","","","0"
"Greece","20180101 00:00:00","New Year's Day","","","","0"
"Japan","20180101 00:00:00","New Year's Day","","","","0"
"Switzerland","20180101 00:00:00","New Year's Day","","","","0"
"Russia","20180101 00:00:00","New Year's Day","","","","0"
"Canada","20180101 00:00:00","New Year's Day","","","","0"
"France","20180101 00:00:00","New Year's Day","","","","0"
"Brazil","20180101 18:00:00","Trade Balance","","","","1"
"Mexico","20180101 18:30:00","New Year's Day","","","","0"
"Australia","20180101 22:30:00","AiG Performance of Mfg Index","","","","2"
"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20180102 00:00:00",""Day after New Year's Day "","","","","0"
"Russia","20180102 00:00:00","Bank holiday","","","","0"
"Australia","20180102 00:00:00","HIA New Home Sales (MoM)","","","","2"
"China","20180102 01:45:00","Caixin Manufacturing PMI","","","","2"
"Australia","20180102 05:30:00","RBA Commodity Index SDR (YoY)","","","","1"
"Spain","20180102 08:15:00","Markit Manufacturing PMI","","","","1"
"Italy","20180102 08:45:00","Markit Manufacturing PMI","","","","1"
"France","20180102 08:50:00","Markit Manufacturing PMI","","","","1"
"Germany","20180102 08:55:00","Markit Manufacturing PMI","","","","2"
"Greece","20180102 09:00:00","Markit Manufacturing PMI","","","","1"
"European Monetary Union","20180102 09:00:00","Markit Manufacturing PMI","","","","2"
"United Kingdom","20180102 09:30:00","Markit Manufacturing PMI","","","","2"
"India","20180102 11:30:00","Infrastructure Output (YoY)","","","","1"
"Brazil","20180102 12:00:00","HSBC PMI Manufacturing","","","","1"
"New Zealand","20180102 14:00:00","GDT Price Index","","","","1"
"Canada","20180102 14:30:00","Markit Manufacturing PMI","","","","2"
"United States","20180102 14:45:00","Markit Manufacturing PMI","","","","2"
"United States","20180102 16:30:00","4-Week Bill Auction","","","","1"
"United States","20180102 16:30:00","3-Month Bill Auction","","","","1"
"United States","20180102 16:30:00","6-Month Bill Auction","","","","1"
"United States","20180102 18:00:00","52-Week Bill auction","","","","1"
"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20180102 00:00:00",""Day after New Year's Day "","","","","0"
"Russia","20180102 00:00:00","Bank holiday","","","","0"
"China","20180102 01:45:00","Caixin Manufacturing PMI","","","","2"
"Australia","20180102 05:30:00","RBA Commodity Index SDR (YoY)","","","","1"
"Spain","20180102 08:15:00","Markit Manufacturing PMI","","","","1"
"Italy","20180102 08:45:00","Markit Manufacturing PMI","","","","1"
"France","20180102 08:50:00","Markit Manufacturing PMI","","","","1"
"Germany","20180102 08:55:00","Markit Manufacturing PMI","","","","2"
"Greece","20180102 09:00:00","Markit Manufacturing PMI","","","","1"
"European Monetary Union","20180102 09:00:00","Markit Manufacturing PMI","","","","2"
"United Kingdom","20180102 09:30:00","Markit Manufacturing PMI","","","","2"
"India","20180102 11:30:00","Infrastructure Output (YoY)","","","","1"
"Brazil","20180102 12:00:00","HSBC PMI Manufacturing","","","","1"
"New Zealand","20180102 14:00:00","GDT Price Index","","","","1"
"Canada","20180102 14:30:00","Markit Manufacturing PMI","","","","2"
"United States","20180102 14:45:00","Markit Manufacturing PMI","","","","2"
"United States","20180102 16:30:00","4-Week Bill Auction","","","","1"
"United States","20180102 16:30:00","3-Month Bill Auction","","","","1"
"United States","20180102 16:30:00","6-Month Bill Auction","","","","1"
"Brazil","20180102 17:00:00","Trade Balance","","","","1"
"United States","20180102 18:00:00","52-Week Bill auction","","","","1"
"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20180102 00:00:00",""Day after New Year's Day "","","","","0"
"Russia","20180102 00:00:00","Bank holiday","","","","0"
"China","20180102 01:45:00","Caixin Manufacturing PMI","","","","2"
"Australia","20180102 05:30:00","RBA Commodity Index SDR (YoY)","","","","1"
"Spain","20180102 08:15:00","Markit Manufacturing PMI","","","","1"
"Italy","20180102 08:45:00","Markit Manufacturing PMI","","","","1"
"France","20180102 08:50:00","Markit Manufacturing PMI","","","","1"
"Germany","20180102 08:55:00","Markit Manufacturing PMI","","","","2"
"Greece","20180102 09:00:00","Markit Manufacturing PMI","","","","1"
"European Monetary Union","20180102 09:00:00","Markit Manufacturing PMI","","","","2"
"United Kingdom","20180102 09:30:00","Markit Manufacturing PMI","","","","2"
"India","20180102 11:30:00","Infrastructure Output (YoY)","","","","1"
"Brazil","20180102 12:00:00","HSBC PMI Manufacturing","","","","1"
"New Zealand","20180102 14:00:00","GDT Price Index","","","","1"
"Canada","20180102 14:30:00","Markit Manufacturing PMI","","","","2"
"United States","20180102 14:45:00","Markit Manufacturing PMI","","","","2"
"United States","20180102 16:30:00","4-Week Bill Auction","","","","1"
"United States","20180102 16:30:00","3-Month Bill Auction","","","","1"
"United States","20180102 16:30:00","6-Month Bill Auction","","","","1"
"Brazil","20180102 17:00:00","Trade Balance","","","","1"
"United States","20180102 18:00:00","52-Week Bill auction","","","","1"
"country","date","name","actual","consensus","previous","volatility"
"Russia","20180103 00:00:00","Bank holiday","","","","0"
"Australia","20180103 00:00:00","HIA New Home Sales (MoM)","","","","2"
"Spain","20180103 08:00:00","Unemployment Change","","","","1"
