#Channel Id		Stream Type		Stream Service		Address			Port
0	 		I      			A      			233.65.120.72	        63864
0	 		I      			B      			233.65.120.200	        63880
0	 		N      			A      			233.65.120.77	        63869
0	 		N      			B      			233.65.120.205          63885
1	 		I      			A      			233.65.120.78  		63870
1	 		I      			B      			233.65.120.206	        63886
1	 		N      			A      			233.65.120.79	        63871
1	 		N      			B      			233.65.120.207          63887
2                       I                       A                       233.65.120.64           64860
2                       I                       B                       233.65.120.192          64862
3                       I                       A                       233.65.120.66           64966
3                       I                       B                       233.65.120.194          64970
