Date Time,,,,Event,,Survey,Actual,Prior,Revised
01/03/2012 05:00,MB,1),,Malta Sells EUR5 Mln 90-Day Bills; Yield 0.81%,,,,,
01/03/2012 05:00,MB,2),,Malta Sells EUR5 Mln 182-Day Bills; Yield 1%,,,,,
01/03/2012 05:30,NE,3),,Netherlands Sells EUR2.99 Bln 85-Day Bills; Yield 0.0%,,,,,
01/03/2012 05:30,NE,4),,Netherlands Sells EUR1.66 Bln 357-Day Bills; Yield 0.05%,,,,,
01/03/2012 05:30,BE,5),,Belgium Sells EUR1.28 Bln 105-Day Bills; Yield 0.264%,,,,,
01/03/2012 05:30,BE,6),,Belgium Sells EUR1.155 Bln 161-Day Bills; Yield 0.364%,,,,,
01/03/2012 09:00,FR,7),,France Sells EUR4.438 Bln 84-Day Bills; Yield 0.023%,,,,,
01/03/2012 09:00,FR,8),,France Sells EUR2.202 Bln 161-Day Bills; Yield 0.074%,,,,,
01/03/2012 09:00,FR,9),,France Sells EUR2.075 Bln 315-Day Bills; Yield 0.136%,,,,,
01/04/2012 05:15,GE,10),,Germany Sells Add'l EU4.057 Bln 10-Year Notes; Yld 1.93% (DBR),,,,,
01/04/2012 05:30,PO,11),,Portugal Sells EUR1 Bln 105-Day Bills; Yield 4.346%,,,,,
01/05/2012 05:00,FR,12),,France to Sell 3.25% 2021 Bond,,,,,
01/05/2012 05:00,FR,13),,France to Sell 4.25% 2023 Bonds,,,,,
01/05/2012 05:00,FR,14),,France to Sell 4.75% 2035 Bonds,,,,,
01/05/2012 05:00,FR,15),,France to Sell 4.5% 2041 Bonds,,,,,
01/05/2012 05:00,FR,16),,France to Sell Bonds (OAT),,,,,
01/09/2012 05:00,SO,17),,Slovakia to Sell Bills,,,,,
01/09/2012 05:15,GE,18),,Germany to Sell EU4 Bln 6-Mth Bills (BUBILL-DE0001115996),,,,,
01/09/2012 09:00,FR,19),,France to Sell Bills,,,,,
01/10/2012 04:00,NE,20),,Netherlands to Sell Up to EUR3.5 Bln 0.75% 2015 Bonds,,,,,
01/10/2012 05:00,AS,21),,Austria to Sell 3.65% 2022 Bonds on Jan. 10 (AT0000A0N9A0),,,,,
01/10/2012 05:00,MB,22),,Malta to Sell 91-Day Bills,,,,,
01/10/2012 05:00,MB,23),,Malta to Sell 273-Day Bills,,,,,
01/10/2012 05:00,AS,24),,Austria to Sell 4% 2016 Bonds on Jan. 10 (AT0000A011T9),,,,,
01/10/2012 07:00,SV,25),,Slovenia to Sell 91-Day Bills,,,,,
01/10/2012 07:00,SV,26),,Slovenia to Sell 182-Day Bills,,,,,
01/11/2012 05:15,GE,27),,Germany to Sell EU4 Bln 5-Year Notes (OBL-DE0001141620),,,,,
01/12/2012 04:30,SP,28),,Spain to Sell Bonds,,,,,
01/12/2012 05:00,IT,29),,Italy to Sell Bills,,,,,
01/13/2012 05:00,IT,30),,Italy to Sell Bonds/Floating Rate Notes (BTP/CCT),,,,,
01/16/2012 05:00,SO,31),,Slovakia to Sell Bills,,,,,
01/16/2012 05:30,NE,32),,Netherlands to Sell Bills,,,,,
01/16/2012 09:00,FR,33),,France to Sell Bills,,,,,
01/17/2012 04:30,SP,34),,Spain to Sell 12M and 18M Bills,,,,,
01/17/2012 05:00,MB,35),,Malta to Sell 91-Day Bills,,,,,
01/17/2012 05:00,MB,36),,Malta to Sell 182-Day Bills,,,,,
01/17/2012 05:30,BE,37),,Belgium to Sell Bills,,,,,
01/18/2012 05:15,GE,38),,Germany to Sell Add'l EU4 Bln 2-Year Notes (BKO-DE0001137362),,,,,
01/18/2012 05:30,PO,39),,Portugal to Sell 3-Month and 6-Month Bills,,,,,
01/19/2012 04:30,SP,40),,Spain to Sell Bonds,,,,,
01/23/2012 05:00,SO,41),,Slovakia to Sell Bonds,,,,,
01/23/2012 05:15,GE,42),,Germany to Sell EU3 Bln 12-Mth Bills (BUBILL-DE0001116002),,,,,
01/23/2012 09:00,FR,43),,France to Sell Bills,,,,,
01/24/2012 04:00,NE,44),,Netherlands to Sell Bonds,,,,,
01/24/2012 04:00,NE,45),,Netherlands to Sell 1.75% 2013 Bonds,,,,,
01/24/2012 04:00,NE,46),,Netherlands to Sell 3.75% 2042 Bonds,,,,,
01/24/2012 04:30,SP,47),,Spain to Sell 3M and 6M Bills,,,,,
01/24/2012 05:00,MB,48),,Malta to Sell 91-Day Bills,,,,,
01/24/2012 05:00,MB,49),,Malta to Sell 182-Day Bills,,,,,
01/25/2012 05:15,GE,50),,Germany to Sell Add'l EU3 Bln 30-Year Notes (DBR-DE0001135432),,,,,
01/26/2012 05:00,IT,51),,Italy to Sell I/L Bonds,,,,,
01/26/2012 05:00,IT,52),,Italy to Sell Zero Coupon Notes (CTZ),,,,,
01/27/2012 05:00,IT,53),,Italy to Sell Bills,,,,,
01/30/2012 05:00,IT,54),,Italy to Sell Bonds/Floating Rate Notes (BTP/CCT),,,,,
01/30/2012 09:00,FR,55),,France to Sell Bills,,,,,
01/31/2012 05:30,BE,56),,Belgium to Sell Bills,,,,,
02/01/2012 05:15,GE,57),,Germany to Sell Add'l EU5 Bln 10-Year Notes (BKO-DE0001135465),,,,,
02/01/2012 05:30,PO,58),,Portugal to Sell 3-Month Bills,,,,,
02/06/2012 05:30,NE,59),,Netherlands to Sell Bills,,,,,
02/06/2012 09:00,FR,60),,France to Sell Bills,,,,,
02/07/2012 05:00,AS,61),,Austria to Sell Bonds,,,,,
02/07/2012 07:00,SV,62),,Slovenia to Sell 90-Day Bills,,,,,
02/07/2012 07:00,SV,63),,Slovenia to Sell 181-Day Bills,,,,,
02/07/2012 07:00,SV,64),,Slovenia to Sell 363-Day Bills,,,,,
