Date Time,,,,Event,,Survey,Actual,Prior,Revised
01/04/2012 02:00,BZ,1),,FIPE CPI - Monthly,DEC,0.47%,0.61%,0.60%,- -
01/04/2012 02:00,BZ,2),,FIPE CPI - Weekly,23-Dec,0.47%,0.59%,0.49%,- -
01/04/2012 09:30,BZ,3),,Central Bank Posts Currency Flows' Data for Prev. Week,,,,,
01/04/2012 09:30,BZ,4),,Commodity Price Index (MoM),DEC,- -,-0.53%,-1.70%,- -
01/04/2012 09:30,BZ,5),,Commodity Price Index (YoY),DEC,- -,-0.35%,6.14%,- -
01/05/2012 06:00,BZ,6),,Industrial Production sa (MoM),NOV,0.50%,- -,-0.60%,- -
01/05/2012 06:00,BZ,7),,Industrial Production YoY,NOV,-2.40%,- -,-2.20%,- -
01/05/2012 07:30,BZ,8),,Vehicle Sales (Anfavea),DEC,- -,- -,321560,- -
01/05/2012 07:30,BZ,9),,Vehicle Production (Anfavea),DEC,- -,- -,274487,- -
01/05/2012 07:30,BZ,10),,Vehicle Exports (Anfavea),DEC,- -,- -,54950,- -
01/06/2012 06:00,BZ,11),,IBGE Inflation IPCA (MoM),DEC,0.55%,- -,0.52%,- -
01/06/2012 06:00,BZ,12),,IBGE Inflation IPCA (YoY),DEC,6.56%,- -,6.64%,- -
01/09/2012 05:00,BZ,13),,FGV Inflation IGP-DI,DEC,-0.25%,- -,0.43%,- -
01/09/2012 05:00,BZ,14),,FGV CPI IPC-S,6-Jan,- -,- -,0.79%,- -
01/09/2012 08:00,BZ,15),,Trade Balance (FOB) - Weekly,8-Jan,- -,- -,$740M,- -
01/11/2012 02:00,BZ,16),,FIPE CPI - Weekly,7-Jan,- -,- -,0.59%,- -
01/11/2012 05:00,BZ,17),,FGV Preview Inflation IGP-M,10-Jan,- -,- -,- -,- -
01/12/2012 06:00,BZ,18),,Retail Sales (MoM),NOV,- -,- -,0.00%,- -
01/12/2012 06:00,BZ,19),,Retail Sales (YoY),NOV,- -,- -,4.30%,- -
01/12/2012 06:00,BZ,20),,Broad Retail Sales (YoY),NOV,- -,- -,1.60%,- -
14-21 JAN,BZ,21),,CAGED Formal Job Creation,DEC,- -,- -,42735,- -
15-22 JAN,BZ,22),,Tax Collections,DEC,- -,- -,78968M,- -
01/16/2012 05:00,BZ,23),,FGV CPI IPC-S,13-Jan,- -,- -,- -,- -
01/16/2012 08:00,BZ,24),,Trade Balance (FOB) - Weekly,15-Jan,- -,- -,- -,- -
16-20 JAN,BZ,25),,CNI Capacity Utilization,NOV,81.50%,- -,81.40%,- -
16-20 JAN,BZ,26),,Economic Activity Indx MoM SA,NOV,- -,- -,-0.32%,- -
16-20 JAN,BZ,27),,Economic Activity Indx YoY NSA,NOV,- -,- -,0.69%,- -
01/17/2012 05:00,BZ,28),,FGV Inflation IGP-10 (MoM),JAN,- -,- -,0.19%,- -
01/18/2012 02:00,BZ,29),,FIPE CPI - Weekly,15-Jan,- -,- -,- -,- -
01/18/2012,BZ,30),,SELIC Target - Central Bank,18-Jan,- -,- -,11.00%,- -
01/19/2012 05:00,BZ,31),,FGV Preview Inflation IGP-M,18-Jan,- -,- -,- -,- -
01/23/2012 05:00,BZ,32),,FGV CPI IPC-S,20-Jan,- -,- -,- -,- -
01/23/2012 08:00,BZ,33),,Trade Balance (FOB) - Weekly,22-Jan,- -,- -,- -,- -
01/24/2012 06:00,BZ,34),,IBGE CPI IPCA-15 (MoM),JAN,- -,- -,0.56%,- -
01/24/2012 07:30,BZ,35),,Current Account - Monthly,DEC,- -,- -,-$6803M,- -
01/24/2012 07:30,BZ,36),,Foreign Investment,DEC,- -,- -,$4056M,- -
01/25/2012 05:00,BZ,37),,FGV Consumer Confidence,JAN,- -,- -,119.6,- -
01/26/2012 02:00,BZ,38),,FIPE CPI - Weekly,23-Jan,- -,- -,- -,- -
01/26/2012 05:00,BZ,39),,FGV Construction Costs (MoM),JAN,- -,- -,0.35%,- -
01/26/2012 05:30,BZ,40),,COPOM Monetary Policy Meeting Minutes,,,,,
01/26/2012 06:00,BZ,41),,Unemployment Rate,DEC,- -,- -,5.20%,- -
01/26/2012 21:00,BZ,42),,Private Banks Lending,DEC,- -,- -,"$1,131 ",- -
01/26/2012 21:00,BZ,43),,Outstanding Loans MoM%,DEC,- -,- -,1.90%,- -
01/26/2012 21:00,BZ,44),,Total Outstanding Loans,DEC,- -,- -,"$1,984 ",- -
01/30/2012 05:00,BZ,45),,FGV Inflation IGP-M (MoM),JAN,- -,- -,-0.12%,- -
01/30/2012 05:00,BZ,46),,FGV Inflation IGP-M (YoY),JAN,- -,- -,5.10%,- -
01/30/2012 08:00,BZ,47),,Trade Balance (FOB) - Weekly,29-Jan,- -,- -,- -,- -
01/30/2012,BZ,48),,Central Govt Budget,DEC,- -,- -,4.6B,- -
01/31/2012 06:00,BZ,49),,Industrial Production sa (MoM),DEC,- -,- -,- -,- -
01/31/2012 06:00,BZ,50),,Industrial Production YoY,DEC,- -,- -,5.30%,- -
01/31/2012 07:30,BZ,51),,Net Debt % GDP,DEC,- -,- -,36.60%,- -
01/31/2012 07:30,BZ,52),,Primary Budget Balance,DEC,- -,- -,8.2B,- -
01/31/2012 07:30,BZ,53),,Nominal Budget Balance,DEC,- -,- -,-10.2B,- -
02/01/2012 05:00,BZ,54),,FGV CPI IPC-S,27-Jan,- -,- -,- -,- -
02/01/2012 07:00,BZ,55),,PMI Manufacturing,JAN,- -,- -,49.1,- -
02/01/2012 08:00,BZ,56),,Trade Balance (FOB) - Monthly,JAN,- -,- -,$3817M,- -
02/01/2012 08:00,BZ,57),,EXPORTS - US$ million,JAN,- -,- -,$22129M,- -
02/01/2012 08:00,BZ,58),,IMPORTS - US$ million,JAN,- -,- -,$18312M,- -
01-08 FEB,BZ,59),,Commodity Price Index (MoM),JAN,- -,- -,-0.53%,- -
01-08 FEB,BZ,60),,Commodity Price Index (YoY),JAN,- -,- -,-0.35%,- -
02/02/2012 02:00,BZ,61),,FIPE CPI - Monthly,JAN,- -,- -,0.61%,- -
03-09 FEB,BZ,62),,CNI Capacity Utilization,DEC,- -,- -,- -,- -
02/06/2012 08:00,BZ,63),,Trade Balance (FOB) - Weekly,5-Feb,- -,- -,- -,- -
06-09 FEB,BZ,64),,Vehicle Sales (Anfavea),JAN,- -,- -,- -,- -
06-09 FEB,BZ,65),,Vehicle Production (Anfavea),JAN,- -,- -,- -,- -
06-09 FEB,BZ,66),,Vehicle Exports (Anfavea),JAN,- -,- -,- -,- -
02/08/2012 05:00,BZ,67),,FGV Inflation IGP-DI,JAN,- -,- -,- -,- -
02/08/2012 05:00,BZ,68),,FGV CPI IPC-S,3-Feb,- -,- -,- -,- -
02/09/2012 02:00,BZ,69),,FIPE CPI - Weekly,7-Feb,- -,- -,- -,- -
02/10/2012 05:00,BZ,70),,FGV Preview Inflation IGP-M,9-Feb,- -,- -,- -,- -
02/10/2012 06:00,BZ,71),,IBGE Inflation IPCA (MoM),JAN,- -,- -,- -,- -
02/10/2012 06:00,BZ,72),,IBGE Inflation IPCA (YoY),JAN,- -,- -,- -,- -
02/13/2012 08:00,BZ,73),,Trade Balance (FOB) - Weekly,12-Feb,- -,- -,- -,- -
02/14/2012 06:00,BZ,74),,Retail Sales (MoM),DEC,- -,- -,- -,- -
02/14/2012 06:00,BZ,75),,Retail Sales (YoY),DEC,- -,- -,- -,- -
02/14/2012 06:00,BZ,76),,Broad Retail Sales (YoY),DEC,- -,- -,- -,- -
14-21 FEB,BZ,77),,CAGED Formal Job Creation,JAN,- -,- -,- -,- -
02/15/2012 05:00,BZ,78),,FGV Inflation IGP-10 (MoM),FEB,- -,- -,- -,- -
15-22 FEB,BZ,79),,Tax Collections,JAN,- -,- -,- -,- -
02/16/2012 02:00,BZ,80),,FIPE CPI - Weekly,14-Feb,- -,- -,- -,- -
02/16/2012 05:00,BZ,81),,FGV CPI IPC-S,10-Feb,- -,- -,- -,- -
02/17/2012 06:00,BZ,82),,FGV Preview Inflation IGP-M,16-Feb,- -,- -,- -,- -
02/17/2012 07:00,BZ,83),,IBGE CPI IPCA-15 (MoM),FEB,- -,- -,- -,- -
02/17/2012 07:00,BZ,84),,Unemployment Rate,JAN,- -,- -,- -,- -
20-24 FEB,BZ,85),,Economic Activity Indx MoM SA,DEC,- -,- -,- -,- -
20-24 FEB,BZ,86),,Economic Activity Indx YoY NSA,DEC,- -,- -,- -,- -
02/22/2012 09:00,BZ,87),,Trade Balance (FOB) - Weekly,19-Feb,- -,- -,- -,- -
02/23/2012 06:00,BZ,88),,FGV CPI IPC-S,17-Feb,- -,- -,- -,- -
02/23/2012 06:00,BZ,89),,FGV Construction Costs (MoM),FEB,- -,- -,- -,- -
02/23/2012 08:30,BZ,90),,Current Account - Monthly,JAN,- -,- -,- -,- -
02/23/2012 08:30,BZ,91),,Foreign Investment,JAN,- -,- -,- -,- -
02/24/2012 06:00,BZ,92),,FGV Consumer Confidence,FEB,- -,- -,- -,- -
02/27/2012 03:00,BZ,93),,FIPE CPI - Weekly,21-Feb,- -,- -,- -,- -
02/27/2012 06:00,BZ,94),,FGV Inflation IGP-M (MoM),FEB,- -,- -,- -,- -
02/27/2012 06:00,BZ,95),,FGV Inflation IGP-M (YoY),FEB,- -,- -,- -,- -
02/27/2012 09:00,BZ,96),,Trade Balance (FOB) - Weekly,26-Feb,- -,- -,- -,- -
02/27/2012 22:00,BZ,97),,Private Banks Lending,JAN,- -,- -,- -,- -
02/27/2012 22:00,BZ,98),,Outstanding Loans MoM%,JAN,- -,- -,- -,- -
02/27/2012 22:00,BZ,99),,Total Outstanding Loans,JAN,- -,- -,- -,- -
02/28/2012,BZ,100),,Central Govt Budget,JAN,- -,- -,- -,- -
02/29/2012 08:30,BZ,101),,Net Debt % GDP,JAN,- -,- -,- -,- -
02/29/2012 08:30,BZ,102),,Primary Budget Balance,JAN,- -,- -,- -,- -
02/29/2012 08:30,BZ,103),,Nominal Budget Balance,JAN,- -,- -,- -,- -
03/01/2012 06:00,BZ,104),,FGV CPI IPC-S,24-Feb,- -,- -,- -,- -
03/01/2012 08:00,BZ,105),,PMI Manufacturing,FEB,- -,- -,- -,- -
03/01/2012 09:00,BZ,106),,Trade Balance (FOB) - Monthly,FEB,- -,- -,- -,- -
