Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
01/03/2012 10:00,US,1341),,Construction Spending MoM,Nov,0.50%,1.20%,0.80%,0.70%,78.5047,CNSTTMOM Index
01/03/2012 10:00,US,1342),,ISM Manufacturing,Dec,53.5,53.9,52.7,52.2,94.3925,NAPMPMI Index
01/03/2012 10:00,US,1343),,ISM Prices Paid,Dec,48,47.5,45,--,68.2243,NAPMPRIC Index
01/03/2012 14:00,US,1344),,Minutes of FOMC Meeting,,,,,,0,
01/04/2012 07:00,US,1345),,MBA Mortgage Applications,30-Dec,--,-4.10%,--,0.30%,94.4444,MBAVCHNG Index
01/04/2012 10:00,US,1346),,Factory Orders,Nov,2.00%,1.80%,-0.40%,-0.40%,82.243,TMNOCHNG Index
01/04/2012 19:10,US,1347),,Total Vehicle Sales,Dec,13.50M,13.48M,13.59M,13.50M,38.3178,SAARTOTL Index
01/04/2012 19:10,US,1348),,Domestic Vehicle Sales,Dec,10.42M,10.49M,10.53M,10.46M,30.8411,SAARDTOT Index
01/05/2012 07:30,US,1349),,Challenger Job Cuts YoY,Dec,--,30.60%,-12.80%,--,28.972,CHALYOY% Index
01/05/2012 08:00,US,1350),,RBC Consumer Outlook Index,Jan,--,45.8,40.3,--,8.41121,ICSHNATL Index
01/05/2012 08:15,US,1351),,ADP Employment Change,Dec,178K,325K,206K,226K,76.6355,ADP CHNG Index
01/05/2012 08:30,US,1352),,Initial Jobless Claims,31-Dec,375K,372K,381K,387K,99.0654,INJCJC Index
01/05/2012 08:30,US,1353),,Continuing Claims,24-Dec,3570K,3595K,3601K,3616K,69.3458,INJCSP Index
01/05/2012 09:45,US,1354),,Bloomberg Consumer Comfort,1-Jan,-46,-44.8,-47.5,--,60.7477,COMFCOMF Index
01/05/2012 10:00,US,1355),,ISM Non-Manf. Composite,Dec,53,52.6,52,52.6,70.0935,NAPMNMI Index
01/05/2012 11:35,US,1356),,ICSC Chain Store Sales YoY,Dec,4.00%,3.50%,3.20%,2.80%,18.6916,MBRXYOYW Index
01/06/2012 08:30,US,1357),,Revisions: Household Employment Survey Annual Revisions,,,,,,0,
01/06/2012 08:30,US,1358),,Change in Nonfarm Payrolls,Dec,155K,200K,120K,157K,98.1308,NFP TCH Index
01/06/2012 08:30,US,1359),,Change in Private Payrolls,Dec,175K,212K,140K,178K,17.757,NFP PCH Index
01/06/2012 08:30,US,1360),,Change in Manufact. Payrolls,Dec,6K,23K,2K,3K,68.6916,USMMMNCH Index
01/06/2012 08:30,US,1361),,Unemployment Rate,Dec,8.70%,8.50%,8.60%,8.70%,88.3178,USURTOT Index
