2-Year December 27, 2010 13:00 NewYork
2-Year November 22, 2010 13:00 NewYork
2-Year October 26, 2010 13:00 NewYork
3-Year December 07, 2010 13:00 NewYork
3-Year November 08, 2010 13:00 NewYork
3-Year October 12, 2010 13:00 NewYork
5-Year December 28, 2010 13:00 NewYork
5-Year November 23, 2010 13:00 NewYork
5-Year October 27, 2010 13:00 NewYork
7-Year December 29, 2010 13:00 NewYork
7-Year November 24, 2010 13:00 NewYork
7-Year October 28, 2010 13:00 NewYork
10-Year December 08, 2010 13:00 NewYork
10-Year November 09, 2010 13:00 NewYork
10-Year October 13, 2010 13:00 NewYork
30-Year December 09, 2010 13:00 NewYork
30-Year November 10, 2010 13:00 NewYork
30-Year October 14, 2010 13:00 NewYork
10-Year November 04, 2010 13:00 NewYork
5-Year October 25, 2010 13:00 NewYork
3-Year February 08, 2011 13:00 NewYork
10-Year February 09, 2011 13:00 NewYork
30-Year February 10, 2011 13:00 NewYork
30-Year February 17, 2011 13:00 NewYork
2-Year February 22, 2011 13:00 NewYork
5-Year February 23, 2011 13:00 NewYork
7-Year February 24, 2011 13:00 NewYork
3-Year March 08, 2011 13:00 NewYork
10-Year March 09, 2011 13:00 NewYork
30-Year March 10, 2011 13:00 NewYork
10-Year March 24, 2011 13:00 NewYork
2-Year March 28, 2011 13:00 NewYork
5-Year March 29, 2011 13:00 NewYork
7-Year March 30, 2011 13:00 NewYork
3-Year April 12, 2011 13:00 NewYork
10-Year April 13, 2011 13:00 NewYork
30-Year April 14, 2011 13:00 NewYork
5-Year April 21, 2011 11:30 NewYork
2-Year April 26, 2011 13:00 NewYork
5-Year April 27, 2011 11:30 NewYork
7-Year April 28, 2011 13:00 NewYork
3-Year May 10, 2011 13:00 NewYork
10-Year May 11, 2011 13:00 NewYork
30-Year May 12, 2011 13:00 NewYork
10-Year May 19, 2011 13:00 NewYork
2-Year May 24, 2011 13:00 NewYork
5-Year May 25, 2011 13:00 NewYork
7-Year May 26, 2011 13:00 NewYork
3-Year June 07, 2011 13:00 NewYork
10-Year June 08, 2011 13:00 NewYork
30-Year June 09, 2011 13:00 NewYork
30-Year June 23, 2011 13:00 NewYork
2-Year June 27, 2011 13:00 NewYork
5-Year June 28, 2011 13:00 NewYork
7-Year June 29, 2011 13:00 NewYork
3-Year July 12, 2011 13:00 NewYork
10-Year July 13, 2011 13:00 NewYork
30-Year July 14, 2011 13:00 NewYork
10-Year July 21, 2011 13:00 NewYork
2-Year July 26, 2011 13:00 NewYork
5-Year July 27, 2011 13:00 NewYork
7-Year July 28, 2011 13:00 NewYork
3-Year August 09, 2011 13:00 NewYork
10-Year August 10, 2011 13:00 NewYork
30-Year August 11, 2011 13:00 NewYork
5-Year August 18, 2011 13:00 NewYork
2-Year August 23, 2011 13:00 NewYork
5-Year August 24, 2011 13:00 NewYork
7-Year August 25, 2011 13:00 NewYork
3-Year September 12, 2011 13:00 NewYork
10-Year September 13, 2011 13:00 NewYork
30-Year September 14, 2011 13:00 NewYork
10-Year September 22, 2011 13:00 NewYork
2-Year September 27, 2011 13:00 NewYork
5-Year September 28, 2011 13:00 NewYork
7-Year September 29, 2011 13:00 NewYork
3-Year October 11, 2011 13:00 NewYork
10-Year October 12, 2011 13:00 NewYork
30-Year October 13, 2011 13:00 NewYork
30-Year October 20, 2011 13:00 NewYork
2-Year October 25, 2011 13:00 NewYork
5-Year October 26, 2011 13:00 NewYork
7-Year October 27, 2011 13:00 NewYork
3-Year November 08, 2011 13:00 NewYork
10-Year November 09, 2011 13:00 NewYork
30-Year November 10, 2011 13:00 NewYork
10-Year November 17, 2011 13:00 NewYork
2-Year November 22, 2011 13:00 NewYork
5-Year November 23, 2011 13:00 NewYork
7-Year November 28, 2011 13:00 NewYork
3-Year December 12, 2011 13:00 NewYork
10-Year December 13, 2011 13:00 NewYork
30-Year December 14, 2011 13:00 NewYork
5-Year December 22, 2011 13:00 NewYork
2-Year December 19, 2011 13:00 NewYork
5-Year December 20, 2011 13:00 NewYork
7-Year December 21, 2011 13:00 NewYork
2-Year November 21, 2011 13:00 NewYork
5-Year November 22, 2011 13:00 NewYork
7-Year November 23, 2011 13:00 NewYork
5-Year December 15, 2011 13:00 NewYork
3-Year January 10, 2012 13:00 NewYork
10-Year January 11, 2012 13:00 NewYork
30-Year January 12, 2012 13:00 NewYork
10-Year January 19, 2012 13:00 NewYork
2-Year January 24, 2012 13:00 NewYork
5-Year January 25, 2012 13:00 NewYork
7-Year January 26, 2012 13:00 NewYork
3-Year February 07, 2012 13:00 NewYork
10-Year February 08, 2012 13:00 NewYork
30-Year February 09, 2012 13:00 NewYork
30-Year February 16, 2012 13:00 NewYork
2-Year February 21, 2012 13:00 NewYork
5-Year February 22, 2012 13:00 NewYork
7-Year February 23, 2012 13:00 NewYork
3-Year March 12, 2012 13:00 NewYork
10-Year March 13, 2012 13:00 NewYork
30-Year March 14, 2012 13:00 NewYork
10-Year March 22, 2012 13:00 NewYork
2-Year March 27, 2012 13:00 NewYork
5-Year March 28, 2012 13:00 NewYork
7-Year March 29, 2012 13:00 NewYork
3-Year April 10, 2012 13:00 NewYork
10-Year April 11, 2012 13:00 NewYork
30-Year April 12, 2012 13:00 NewYork
5-Year April 19, 2012 13:00 NewYork
2-Year April 24, 2012 13:00 NewYork
5-Year April 25, 2012 13:00 NewYork
7-Year April 26, 2012 13:00 NewYork
3-Year May 08, 2012 13:00 NewYork
10-Year May 09, 2012 13:00 NewYork
30-Year May 10, 2012 13:00 NewYork
10-Year May 17, 2012 13:00 NewYork
2-Year May 22, 2012 13:00 NewYork
5-Year May 23, 2012 13:00 NewYork
7-Year May 24, 2012 13:00 NewYork
3-Year June 12, 2012 13:00 NewYork
10-Year June 13, 2012 13:00 NewYork
30-Year June 14, 2012 13:00 NewYork
30-Year June 21, 2012 13:00 NewYork
2-Year June 26, 2012 13:00 NewYork
5-Year June 27, 2012 13:00 NewYork
7-Year June 28, 2012 13:00 NewYork
3-Year July 10, 2012 13:00 NewYork
10-Year July 11, 2012 13:00 NewYork
30-Year July 12, 2012 13:00 NewYork
10-Year July 19, 2012 13:00 NewYork
2-Year July 24, 2012 13:00 NewYork
5-Year July 25, 2012 13:00 NewYork
7-Year July 26, 2012 13:00 NewYork
3-Year August 07, 2012 13:00 NewYork
10-Year August 08, 2012 13:00 NewYork
30-Year August 09, 2012 13:00 NewYork
5-Year August 23, 2012 13:00 NewYork
2-Year August 28, 2012 13:00 NewYork
5-Year August 29, 2012 13:00 NewYork
7-Year August 30, 2012 13:00 NewYork
3-Year September 11, 2012 13:00 NewYork
10-Year September 12, 2012 13:00 NewYork
30-Year September 13, 2012 13:00 NewYork
10-Year September 20, 2012 13:00 NewYork
2-Year September 25, 2012 13:00 NewYork
5-Year September 26, 2012 13:00 NewYork
7-Year September 27, 2012 13:00 NewYork
3-Year October 09, 2012 13:00 NewYork
10-Year October 10, 2012 13:00 NewYork
30-Year October 11, 2012 13:00 NewYork
30-Year October 18, 2012 13:00 NewYork
2-Year October 23, 2012 13:00 NewYork
5-Year October 24, 2012 13:00 NewYork
7-Year October 25, 2012 13:00 NewYork
3-Year November 06, 2012 13:00 NewYork
10-Year November 07, 2012 13:00 NewYork
30-Year November 08, 2012 13:00 NewYork
10-Year November 21, 2012 13:00 NewYork
2-Year November 27, 2012 13:00 NewYork
5-Year November 28, 2012 13:00 NewYork
7-Year November 29, 2012 13:00 NewYork
3-Year December 11, 2012 13:00 NewYork
10-Year December 12, 2012 13:00 NewYork
30-Year December 13, 2012 13:00 NewYork
2-Year December 17, 2012 13:00 NewYork
5-Year December 18, 2012 13:00 NewYork
7-Year December 19, 2012 13:00 NewYork
5-Year December 20, 2012 13:00 NewYork
3-Year January 08, 2013 13:00 NewYork
10-Year January 09, 2013 13:00 NewYork
30-Year January 10, 2013 13:00 NewYork
10-Year January 24, 2013 13:00 NewYork
2-Year January 28, 2013 13:00 NewYork
5-Year January 29, 2013 13:00 NewYork
7-Year January 30, 2013 13:00 NewYork
3-Year February 12, 2013 13:00 NewYork
10-Year February 13, 2013 13:00 NewYork
30-Year February 14, 2013 13:00 NewYork
30-Year February 21, 2013 13:00 NewYork
2-Year February 25, 2013 13:00 NewYork
5-Year February 26, 2013 13:00 NewYork
7-Year February 27, 2013 13:00 NewYork
3-Year March 12, 2013 13:00 NewYork
10-Year March 13, 2013 13:00 NewYork
30-Year March 14, 2013 13:00 NewYork
10-Year March 21, 2013 13:00 NewYork
2-Year March 26, 2013 13:00 NewYork
5-Year March 27, 2013 13:00 NewYork
7-Year March 28, 2013 13:00 NewYork
3-Year April 09, 2013 13:00 NewYork
10-Year April 10, 2013 13:00 NewYork
30-Year April 11, 2013 13:00 NewYork
5-Year April 18, 2013 13:00 NewYork
2-Year April 23, 2013 13:00 NewYork
5-Year April 24, 2013 13:00 NewYork
7-Year April 25, 2013 13:00 NewYork
3-Year May 07, 2013 13:00 NewYork
10-Year May 08, 2013 13:00 NewYork
30-Year May 09, 2013 13:00 NewYork
10-Year May 23, 2013 13:00 NewYork
2-Year May 28, 2013 13:00 NewYork
5-Year May 29, 2013 13:00 NewYork
7-Year May 30, 2013 13:00 NewYork
3-Year June 11, 2013 13:00 NewYork
10-Year June 12, 2013 13:00 NewYork
30-Year June 13, 2013 13:00 NewYork
30-Year June 20, 2013 13:00 NewYork
2-Year June 25, 2013 13:00 NewYork
5-Year June 26, 2013 13:00 NewYork
7-Year June 27, 2013 13:00 NewYork
3-Year July 09, 2013 13:00 NewYork
10-Year July 10, 2013 13:00 NewYork
30-Year July 11, 2013 13:00 NewYork
10-Year July 18, 2013 13:00 NewYork
2-Year July 23, 2013 13:00 NewYork
5-Year July 24, 2013 13:00 NewYork
7-Year July 25, 2013 13:00 NewYork
3-Year August 06, 2013 13:00 NewYork
