"country","date","name","actual","consensus","previous","volatility"
"United Kingdom","20150210 00:01:00","BRC Retail Sales Monitor - All (YoY)","0.200  %","0.500  %","-0.400  %","1"
"China","20150210 01:30:00","Consumer Price Index (YoY)","0.800  %","1.000  %","1.500  %","2"
"China","20150210 01:30:00","Consumer Price Index (MoM)","0.300  %","0.400  %","0.300  %","2"
"China","20150210 01:30:00","Producer Price Index (YoY)","-4.300  %","-3.800  %","-3.300  %","2"
"Switzerland","20150210 06:45:00","Unemployment Rate s.a (MoM)","3.100  %","3.200  %","3.200  %","2"
"Switzerland","20150210 08:15:00","Consumer Price Index (YoY)","-0.500  %","-0.700  %","-0.300  %","2"
"United Kingdom","20150210 09:30:00","Industrial Production (YoY)","0.500  %","0.700  %","1.100  %","2"
"United Kingdom","20150210 09:30:00","Industrial Production (MoM)","-0.200  %","0.100  %","0.000  %","1"
"United Kingdom","20150210 09:30:00","Manufacturing Production (MoM)","0.100  %","-0.100  %","0.800  %","1"
"United Kingdom","20150210 09:30:00","Manufacturing Production (YoY)","2.400  %","2.000  %","3.000  %","2"
"All","20150210 11:00:00","G20 Meeting","","","","2"
"United States","20150210 13:20:00","Fed's Lacker speech","","","","1"
"United States","20150210 13:55:00","Redbook index (YoY)","2.100  %","","3.800  %","1"
"United States","20150210 13:55:00","Redbook index (MoM)","0.200  %","","-3.500  %","1"
"United States","20150210 14:00:00","NFIB Business Optimism Index"," 97.900 "," 101.300 "," 100.400 ","1"
"United States","20150210 15:00:00","JOLTS Job Openings"," 5.028 M"," 4.990 M"," 4.847 M","1"
"United Kingdom","20150210 15:00:00","NIESR GDP Estimate (3M)","0.700  %","","0.500  %","2"
"United States","20150210 15:00:00","Wholesale Inventories","0.100  %","0.200  %","0.800  %","2"
"United States","20150210 15:15:00","IBD/TIPP Economic Optimism (MoM)"," 47.500 "," 51.400 "," 51.500 ","1"
"United States","20150210 16:30:00","4-Week Bill Auction","","","0.020  %","1"
"United States","20150210 18:00:00","3-Year Note Auction","","","0.926  %","1"
"South Korea","20150210 21:00:00","Import Price Growth (YoY)","","","-13.000  %","1"
"South Korea","20150210 21:00:00","Export Price Growth (YoY)","","","-4.300  %","1"
"New Zealand","20150210 21:45:00","Electronic Card Retail Sales (YoY)","","","3.500  %","1"
"New Zealand","20150210 21:45:00","Electronic Card Retail Sales  (MoM)","","","-0.100  %","1"
"South Korea","20150210 23:00:00","Unemployment Rate","","","3.500  %","1"
"Australia","20150210 23:30:00","Westpac Consumer Confidence","","","2.400  %","1"
"Australia","20150210 23:30:00","Westpac Consumer Confidence Index","",""," 93.200 ","1"
