"country","date","name","actual","consensus","previous","volatility"
"Mexico","20170102 00:00:00","New year's holiday","","","","0"
"New Zealand","20170102 00:00:00",""Day after New Year's Day "","","","","0"
"Russia","20170102 00:00:00","Bank holiday","","","","0"
"France","20170102 00:00:00","New Year's Day (Observed)","","","","0"
"Spain","20170102 08:15:00","Markit Manufacturing PMI","","","","1"
"Italy","20170102 08:45:00","Markit Manufacturing PMI","","","","1"
"France","20170102 08:50:00","Markit Manufacturing PMI","","","","1"
"Germany","20170102 08:55:00","Markit Manufacturing PMI","","","","2"
"Greece","20170102 09:00:00","Markit Manufacturing PMI","","","","1"
"European Monetary Union","20170102 09:00:00","Markit Manufacturing PMI","","","","2"
"Brazil","20170102 12:00:00","HSBC PMI Manufacturing","","","","1"
"Brazil","20170102 17:00:00","Trade Balance","","","","1"
"Australia","20170102 22:30:00","AiG Performance of Mfg Index","","","","2"
"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20170103 00:00:00","New Year's Day (Observed)","","","","0"
"Russia","20170103 00:00:00","Bank holiday","","","","0"
"China","20170103 01:45:00","Caixin Manufacturing PMI","","","","2"
"Australia","20170103 05:30:00","RBA Commodity Index SDR (YoY)","","","","1"
"France","20170103 07:45:00","Consumer Price Index (EU norm) (YoY)","","","","2"
"Switzerland","20170103 08:30:00","SVME - Purchasing Managers' Index","","","","1"
"Germany","20170103 08:55:00","Unemployment Rate s.a.","","","","2"
"Germany","20170103 08:55:00","Unemployment Change","","","","2"
"United Kingdom","20170103 09:30:00","Markit Manufacturing PMI","","","","2"
"Portugal","20170103 10:00:00","Business Confidence","","","","1"
"Portugal","20170103 10:00:00","Consumer Confidence","","","","1"
"Germany","20170103 13:00:00","Consumer Price Index (YoY)","","","","2"
"Germany","20170103 13:00:00","Harmonised Index of Consumer Prices (YoY)","","","","2"
"Germany","20170103 13:00:00","Consumer Price Index (MoM)","","","","2"
"Germany","20170103 13:00:00","Harmonised Index of Consumer Prices (MoM)","","","","2"
"United States","20170103 13:55:00","Redbook index (MoM)","","","","1"
"United States","20170103 13:55:00","Redbook index (YoY)","","","","1"
"Canada","20170103 14:30:00","RBC Manufacturing PMI","","","","2"
"United States","20170103 14:45:00","Markit Manufacturing PMI","","","","2"
"United States","20170103 15:00:00","ISM Manufacturing PMI","","","","3"
"United States","20170103 15:00:00","ISM Prices Paid","","","","3"
"United States","20170103 15:00:00","Construction Spending (MoM)","","","","2"
"New Zealand","20170103 15:00:00","GDT Price Index","","","","1"
"United States","20170103 16:30:00","52-Week Bill auction","","","","1"
"United States","20170103 16:30:00","4-Week Bill Auction","","","","1"
"United States","20170103 16:30:00","3-Month Bill Auction","","","","1"
"United States","20170103 16:30:00","6-Month Bill Auction","","","","1"
"country","date","name","actual","consensus","previous","volatility"
"Russia","20170104 00:00:00","Bank holiday","","","","0"
"Japan","20170104 00:30:00","Markit Services PMI","","","","1"
"Japan","20170104 00:30:00","Nikkei Manufacturing PMI","","","","1"
