#Product	 StreamType	 StreamService	 Ip	 Port
1 	Snapshot 	A 	233.252.8.1 	30001
3 	Snapshot 	A 	233.252.8.19 	30003
5 	Snapshot 	A 	233.252.8.37 	30005
7 	Snapshot 	A 	233.252.8.55 	30007
10 	Snapshot 	A 	233.252.8.82 	30010
1 	Increment 	A 	233.252.8.2 	20001
3 	Increment 	A 	233.252.8.20 	20003
5 	Increment 	A 	233.252.8.38 	20005
7 	Increment 	A 	233.252.8.56 	20007
10 	Increment 	A 	233.252.8.83 	20010
1 	Reference 	A 	233.252.8.3 	10001
3 	Reference 	A 	233.252.8.21 	10003
5 	Reference 	A 	233.252.8.39 	10005
7 	Reference 	A 	233.252.8.57 	10007
10 	Reference 	A 	233.252.8.84 	10010
